Joplo Bartu,LB,ACT,1
Justin Bethel,DB,ACT,1
Evan Boehm,OL,ACT,1
Taylor Boggs,OL,ACT,1
Elie Bouka,DB,RES,1
Tyvon Branch,DB,RES,1
Aaron Brewer,OL,ACT,1
Jaron Brown,WR,RES,1
John Brown,WR,ACT,1
Christian Bryant,DB,ACT,1
Deone Bucannon,LB,ACT,1
Calais Campbell,DL,ACT,1
Chandler Catanzaro,K,ACT,1
Marcus Cooper,DB,ACT,1
Andre Ellington,RB,ACT,1
Darren Fells,TE,ACT,1
Larry Fitzgerald,WR,ACT,1
Michael Floyd,WR,ACT,1
Alani Fua,LB,RES,1
Brittan Golden,WR,ACT,1
Markus Golden,LB,ACT,1
Jermaine Gresham,TE,ACT,1
Rodney Gunter,DL,ACT,1
Chris Hubert,WR,ACT,1
D.J. Humphries,OL,ACT,1
Mike Iupati,OL,ACT,1
Tony Jefferson,DB,ACT,1
Mike Jenkins,DB,RES,1
Ulrick John,OL,ACT,1
Chris Johnson,RB,RES,1
David Johnson,RB,ACT,1
Chandler Jones,LB,ACT,1
Gabe Martin,LB,ACT,1
Kareem Martin,LB,ACT,1
Tyrann Mathieu,DB,ACT,1
Evan Mathis,OL,RES,1
Josh Mauro,DL,ACT,1
Kevin Minter,LB,ACT,1
Ifeanyi Momah,TE,RES,1
J.J. Nelson,WR,ACT,1
Troy Niklas,TE,RES,1
Robert Nkemdiche,DL,ACT,1
Alex Okafor,LB,ACT,1
Carson Palmer,QB,ACT,1
Corey Peters,DL,ACT,1
Patrick Peterson,DB,ACT,1
Olsen Pierre,DL,ACT,1
Ryan Quigley,P,ACT,1
Frostee Rucker,DL,ACT,1
A.Q. Shipley,OL,ACT,1
Tharold Simon,DB,ACT,1
Drew Stanton,QB,ACT,1
Ed Stinson,DL,ACT,1
D.J. Swearinger,DB,ACT,1
Stepfan Taylor,RB,ACT,1
Cole Toner,OL,ACT,1
Hakeem Valles,TE,ACT,1
Jared Veldheer,OL,RES,1
Earl Watford,OL,ACT,1
John Wetzel,OL,ACT,1
Brandon Williams,DB,ACT,1
Kerwynn Williams,RB,ACT,1
Xavier Williams,DL,ACT,1
Robert Alford,DB,ACT,2
Ricardo Allen,DB,ACT,2
Jonathan Babineaux,DL,ACT,2
Vic Beasley,LB,ACT,2
Matt Bosher,P,ACT,2
Matt Bryant,K,ACT,2
De'Vondre Campbell,LB,ACT,2
Chris Chester,OL,ACT,2
Adrian Clayborn,DL,ACT,2
Tevin Coleman,RB,ACT,2
Jalen Collins,DB,ACT,2
Tom Compton,OL,ACT,2
Patrick DiMarco,RB,ACT,2
Devonta Freeman,RB,ACT,2
Dwight Freeney,DL,ACT,2
Devin Fuller,WR,RES,2
Taylor Gabriel,WR,ACT,2
Ben Garland,OL,ACT,2
C.J. Goodwin,DB,ACT,2
Ra'Shede Hageman,DL,ACT,2
Justin Hardy,WR,ACT,2
Josh Harris,OL,ACT,2
Austin Hooper,TE,ACT,2
Kemal Ishmael,DB,ACT,2
Tyson Jackson,DL,ACT,2
Grady Jarrett,DL,ACT,2
Deion Jones,LB,ACT,2
Julio Jones,WR,ACT,2
Akeem King,DB,RES,2
Andy Levitre,OL,ACT,2
Alex Mack,OL,ACT,2
Cliff Matthews,DL,ACT,2
Jake Matthews,OL,ACT,2
Chris Mayes,DL,RES,2
Keanu Neal,DB,ACT,2
Sharrod Neasman,DB,ACT,2
Josh Perkins,TE,ACT,2
Brian Poole,DB,ACT,2
Brooks Reed,DL,ACT,2
LaRoy Reynolds,LB,ACT,2
Stevan Ridley,RB,ACT,2
Aldrick Robinson,WR,ACT,2
Matt Ryan,QB,ACT,2
Mohamed Sanu,WR,ACT,2
Matt Schaub,QB,ACT,2
Ryan Schraeder,OL,ACT,2
Wes Schweitzer,OL,ACT,2
Derrick Shelby,DL,RES,2
Tyler Starr,LB,RES,2
Jacob Tamme,TE,ACT,2
Robenson Therezie,DB,ACT,2
Levine Toilolo,TE,ACT,2
Desmond Trufant,DB,ACT,2
Courtney Upshaw,DL,ACT,2
Terron Ward,RB,ACT,2
Sean Weatherspoon,LB,RES,2
Eric Weems,WR,ACT,2
Philip Wheeler,LB,ACT,2
Paul Worrilow,LB,ACT,2
Kamar Aiken,WR,ACT,3
Javorius Allen,RB,ACT,3
Kyle Arrington,DB,RES,3
Nick Boyle,TE,SUS,3
Maurice Canady,DB,RES,3
Kaelin Clay,WR,RES,3
Kamalei Correa,LB,ACT,3
Morgan Cox,OL,ACT,3
Robertson Daniel,DB,ACT,3
Carl Davis,DL,RES,3
Will Davis,DB,ACT,3
Kenneth Dixon,RB,ACT,3
Vladimir Ducasse,OL,ACT,3
Elvis Dumervil,LB,ACT,3
Matt Elam,DB,RES,3
Joe Flacco,QB,ACT,3
Crockett Gillmore,TE,ACT,3
Lawrence Guy,DL,ACT,3
Willie Henry,DL,ACT,3
Devin Hester,WR,ACT,3
Marqueston Huff,DB,ACT,3
James Hurst,OL,ACT,3
Ryan Jensen,OL,ACT,3
Timmy Jernigan,DL,ACT,3
Matt Judon,LB,ACT,3
Kyle Juszczyk,RB,ACT,3
Bronson Kaufusi,DL,RES,3
Sam Koch,P,ACT,3
Anthony Levine,DB,ACT,3
Alex Lewis,OL,ACT,3
Kendrick Lewis,DB,RES,3
Cavellis Luckett,LB,RES,3
Ryan Mallett,QB,ACT,3
Chris Matthews,WR,RES,3
Albert McClellan,LB,ACT,3
Chris Moore,WR,ACT,3
C.J. Mosley,LB,ACT,3
Stephane Nembot,OL,RES,3
Patrick Onwuasor,LB,ACT,3
Zach Orr,LB,ACT,3
Breshad Perriman,WR,ACT,3
Michael Pierce,DL,ACT,3
Dennis Pitta,TE,ACT,3
Jerraud Powers,DB,ACT,3
Sheldon Price,DB,RES,3
Jumal Rolle,DB,RES,3
Jimmy Smith,DB,ACT,3
Steve Smith,WR,ACT,3
Za'Darius Smith,LB,ACT,3
Ronnie Stanley,OL,ACT,3
Terrell Suggs,LB,ACT,3
Lorenzo Taliaferro,RB,ACT,3
Justin Tucker,K,ACT,3
Brent Urban,DL,ACT,3
John Urschel,OL,ACT,3
Ricky Wagner,OL,ACT,3
Mike Wallace,WR,ACT,3
Darren Waller,TE,ACT,3
Benjamin Watson,TE,RES,3
Lardarius Webb,DB,ACT,3
Eric Weddle,DB,ACT,3
De'Ondre Wesley,OL,RES,3
Terrance West,RB,ACT,3
Brandon Williams,DL,ACT,3
Maxx Williams,TE,RES,3
Shareece Wright,DB,ACT,3
Marshal Yanda,OL,ACT,3
Tavon Young,DB,ACT,3
Jeremy Zuttah,OL,ACT,3
Lorenzo Alexander,LB,ACT,4
Colt Anderson,DB,RES,4
Blake Annen,TE,RES,4
Robert Blanton,DB,ACT,4
Preston Brown,LB,ACT,4
Sergio Brown,DB,ACT,4
Zach Brown,LB,ACT,4
Corbin Bryant,DL,ACT,4
Reggie Bush,RB,ACT,4
Dan Carpenter,K,ACT,4
Gerald Christian,TE,ACT,4
Charles Clay,TE,ACT,4
Ronald Darby,DB,ACT,4
Marcell Dareus,DL,ACT,4
Leger Douzable,DL,ACT,4
Jonathan Dowling,DB,RES,4
Marcus Easley,WR,PUP,4
IK Enemkpali,DL,RES,4
Jerome Felton,RB,ACT,4
Mike Gillislee,RB,ACT,4
Stephon Gilmore,DB,ACT,4
Cordy Glenn,OL,ACT,4
Marquise Goodwin,WR,ACT,4
Chris Gragg,TE,RES,4
Corey Graham,DB,ACT,4
Ryan Groy,OL,ACT,4
Percy Harvin,WR,ACT,4
Seantrel Henderson,OL,ACT,4
Jerry Hughes,LB,ACT,4
Ramon Humber,LB,ACT,4
Justin Hunter,WR,ACT,4
Richie Incognito,OL,ACT,4
Cardale Jones,QB,ACT,4
Cyrus Kouandjio,OL,ACT,4
Shaq Lawson,DL,ACT,4
Patrick Lewis,OL,ACT,4
EJ Manuel,QB,ACT,4
LeSean McCoy,RB,ACT,4
Lerentee McCray,LB,ACT,4
Jonathan Meeks,DB,ACT,4
John Miller,OL,ACT,4
Jordan Mills,OL,ACT,4
Nick O'Leary,TE,ACT,4
Walt Powell,WR,ACT,4
Reggie Ragland,LB,RES,4
Nickell Robey-Coleman,DB,ACT,4
Greg Salas,WR,RES,4
