GameID,Week,Day,Date,WinnerID,LoserID,WinnerScore,LoserScore,StadiumID,Time,Duration,Attendance,Temperature,Humidity,Wind,FavoredTeam,Spread,OverUnder,OUResult,URL
,7,,2016-10-20,12,6,26,10,Lambeau Field,08:26,03:12:00,78217,47,63,10,Packers,7.5,46.5,U,http://www.pro-football-reference.com/boxscores/201610200gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,7,,2016-10-23,22,17,17,10,Twickenham Stadium,09:31,03:03:00,74121,55,61,12,Giants,2.5,44.5,U,http://www.pro-football-reference.com/boxscores/201610230ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,7,,2016-10-23,24,15,33,16,EverBank Field,01:02,03:29:00,62614,70,47,6,Jaguars,2,47.5,O,http://www.pro-football-reference.com/boxscores/201610230jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,7,,2016-10-23,25,19,21,10,Lincoln Financial Field,01:02,03:09:00,69596,62,46,20,Vikings,3,39,U,http://www.pro-football-reference.com/boxscores/201610230phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,7,,2016-10-23,14,31,34,26,Nissan Stadium,01:02,03:21:00,65470,68,50,5,Titans,4,48,O,http://www.pro-football-reference.com/boxscores/201610230oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,7,,2016-10-23,11,32,20,17,Ford Field,01:02,02:59:00,60461,,,,Redskins,1,50,U,http://www.pro-football-reference.com/boxscores/201610230det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,7,,2016-10-23,18,4,28,25,Hard Rock Stadium,01:02,03:19:00,65658,81,58,11,Bills,2.5,46,O,http://www.pro-football-reference.com/boxscores/201610230mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,7,,2016-10-23,7,8,31,17,Paul Brown Stadium,01:02,02:50:00,65470,65,50,5,Bengals,11,46.5,O,http://www.pro-football-reference.com/boxscores/201610230cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,7,,2016-10-23,16,21,27,21,Arrowhead Stadium,01:03,03:05:00,76282,68,47,9,Chiefs,7,51.5,U,http://www.pro-football-reference.com/boxscores/201610230kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,7,,2016-10-23,23,3,24,16,MetLife Stadium,01:04,02:54:00,78160,,,,Jets,2.5,40,P,http://www.pro-football-reference.com/boxscores/201610230nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,7,,2016-10-23,30,28,34,17,Levi's Stadium,04:05,03:14:00,70178,68,49,5,49ers,1,45,O,http://www.pro-football-reference.com/boxscores/201610230sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,7,,2016-10-23,27,2,33,30,Georgia Dome,04:05,03:31:00,69832,,,,Falcons,4.5,52.5,O,http://www.pro-football-reference.com/boxscores/201610230atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,7,,2016-10-23,20,26,27,16,Heinz Field,04:25,03:05:00,66900,63,54,13,Patriots,7.5,49,U,http://www.pro-football-reference.com/boxscores/201610230pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,7,,2016-10-23,29,1,6,6,University of Phoenix Stadium,07:30,03:41:00,65890,,,,Cardinals,2.5,43,U,http://www.pro-football-reference.com/boxscores/201610230crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,7,,2016-10-24,10,13,27,9,Sports Authority Field at Mile High,08:30,03:05:00,76865,71,17,5,Broncos,8.5,40,U,http://www.pro-football-reference.com/boxscores/201610240den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,8,,2016-10-27,31,15,36,22,Nissan Stadium,08:26,03:08:00,61619,71,78,3,Titans,3,43.5,O,http://www.pro-football-reference.com/boxscores/201610270oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,8,,2016-10-30,32,7,27,27,Wembley Stadium,08:36,03:56:00,84488,54,90,2,Bengals,3,49,O,http://www.pro-football-reference.com/boxscores/201610300cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,8,,2016-10-30,5,1,30,20,Bank of America Stadium,12:47,03:32:00,74880,85,53,5,Panthers,2.5,45.5,O,http://www.pro-football-reference.com/boxscores/201610300car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,8,,2016-10-30,23,8,31,28,FirstEnergy Stadium,01:02,03:15:00,67431,53,91,15,Jets,2.5,45.5,O,http://www.pro-football-reference.com/boxscores/201610300cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,8,,2016-10-30,16,14,30,14,Lucas Oil Stadium,01:02,03:19:00,65417,,,,Chiefs,3,50.5,U,http://www.pro-football-reference.com/boxscores/201610300clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,8,,2016-10-30,20,4,41,25,New Era Field,01:02,03:17:00,70442,49,92,9,Patriots,5.5,48,O,http://www.pro-football-reference.com/boxscores/201610300buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,8,,2016-10-30,24,30,30,24,Raymond James Stadium,01:02,03:46:00,61680,86,54,15,Buccaneers,1,48,O,http://www.pro-football-reference.com/boxscores/201610300tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,8,,2016-10-30,21,29,25,20,Mercedes-Benz Superdome,01:03,03:00:00,73188,,,,Seahawks,1,50,U,http://www.pro-football-reference.com/boxscores/201610300nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,8,,2016-10-30,13,11,20,13,NRG Stadium,01:03,02:54:00,71882,,,,Texans,1,46.5,U,http://www.pro-football-reference.com/boxscores/201610300htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,8,,2016-10-30,10,27,27,19,Sports Authority Field at Mile High,04:05,03:29:00,76756,76,19,6,Broncos,3.5,43,O,http://www.pro-football-reference.com/boxscores/201610300den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,8,,2016-10-30,2,12,33,32,Georgia Dome,04:25,03:06:00,70165,,,,Falcons,3,51,O,http://www.pro-football-reference.com/boxscores/201610300atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,8,,2016-10-30,9,25,29,23,AT&T Stadium,08:31,03:29:00,93103,,,,Cowboys,5,44,O,http://www.pro-football-reference.com/boxscores/201610300dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,8,,2016-10-31,6,19,20,10,Soldier Field,08:31,02:56:00,60422,58,71,12,Vikings,4.5,39.5,U,http://www.pro-football-reference.com/boxscores/201610310chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,9,,2016-11-03,2,30,43,28,Raymond James Stadium,08:25,03:15:00,57797,76,,2,Falcons,4.5,49,O,http://www.pro-football-reference.com/boxscores/201611030tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,9,,2016-11-06,18,23,27,23,Hard Rock Stadium,01:00,03:19:00,65722,80,,14,Dolphins,3.5,45,O,http://www.pro-football-reference.com/boxscores/201611060mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,9,,2016-11-06,16,15,19,14,Arrowhead Stadium,01:00,03:20:00,73294,62,,7,Chiefs,7,42.5,U,http://www.pro-football-reference.com/boxscores/201611060kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,9,,2016-11-06,22,25,28,23,MetLife Stadium,01:00,03:17:00,80309,56,,9,Giants,3,42.5,O,http://www.pro-football-reference.com/boxscores/201611060nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,9,,2016-11-06,3,26,21,14,M&T Bank Stadium,01:00,03:18:00,71286,65,,15,Steelers,3.5,46,U,http://www.pro-football-reference.com/boxscores/201611060rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,9,,2016-11-06,9,8,35,10,FirstEnergy Stadium,01:00,02:49:00,67431,58,,4,Cowboys,7,49,U,http://www.pro-football-reference.com/boxscores/201611060cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,9,,2016-11-06,11,19,22,16,U.S. Bank Stadium,01:00,03:09:00,66807,,,,Vikings,4.5,42.5,U,http://www.pro-football-reference.com/boxscores/201611060min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,9,,2016-11-06,5,17,13,10,Los Angeles Memorial Coliseum,04:05,03:01:00,86109,75,,2,Panthers,3,44.5,U,http://www.pro-football-reference.com/boxscores/201611060ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
