"","Name","Tm","Week","Target","Rec","RecYds","RecTD","FPts","FPts_G","Year"
"2","Zach Miller","CHI",3,9,8,78,2,19.8,19.8,2016
"3","Coby Fleener","NO",3,11,7,109,1,16.9,16.9,2016
"4","Cameron Brate","TB",3,10,5,46,2,16.6,16.6,2016
"5","Jimmy Graham","SEA",3,9,6,100,1,16,16,2016
"6","Travis Kelce","KC",3,7,6,89,1,14.9,14.9,2016
"7","Kyle Rudolph","MIN",3,10,7,70,1,13,13,2016
"8","Hunter Henry","SD",3,5,5,76,0,7.6,7.6,2016
"9","Eric Ebron","DET",3,8,5,69,0,6.9,6.9,2016
"10","John Phillips","DEN",3,4,2,9,1,6.9,6.9,2016
"11","Richard Rodgers","GB",3,3,2,9,1,6.9,6.9,2016
"12","Gary Barnidge","CLE",3,6,5,66,0,6.6,6.6,2016
"13","Jack Doyle","IND",3,6,6,65,0,6.5,6.5,2016
"14","Greg Olsen","CAR",3,10,6,64,0,6.4,6.4,2016
"15","Brent Celek","PHI",3,4,3,61,0,6.1,6.1,2016
"16","Jace Amaro","TEN",3,4,3,59,0,5.9,5.9,2016
"17","Jordan Reed","WAS",3,7,4,56,0,5.6,5.6,2016
"18","Ryan Griffin","HOU",3,10,8,52,0,5.2,5.2,2016
"19","Dion Sims","MIA",3,4,4,46,0,4.6,4.6,2016
"20","Dennis Pitta","BAL",3,8,6,42,0,4.2,4.2,2016
"21","Dwayne Allen","IND",3,5,3,35,0,3.5,3.5,2016
"22","CJ Uzomah","CIN",3,4,2,31,0,3.1,3.1,2016
"23","Jeff Heuerman","DEN",3,1,1,29,0,2.9,2.9,2016
"24","Nick OLeary","BUF",3,1,1,28,0,2.8,2.8,2016
"25","Jacob Tamme","ATL",3,4,3,28,0,2.8,2.8,2016
"26","Clive Walford","OAK",3,3,2,27,0,2.7,2.7,2016
"27","Garrett Celek","SF",3,4,3,25,0,2.5,2.5,2016
"28","Jason Witten","DAL",3,2,2,25,0,2.5,2.5,2016
"29","Ed Dickson","CAR",3,1,1,23,0,2.3,2.3,2016
"30","Marcedes Lewis","JAC",3,3,3,20,0,2,2,2016
"31","Trey Burton","PHI",3,6,2,19,0,1.9,1.9,2016
"32","Rhett Ellison","MIN",3,1,1,18,0,1.8,1.8,2016
"33","Martellus Bennett","NE",3,3,2,10,0,1.6,1.6,2016
"34","Jared Cook","GB",3,3,1,15,0,1.5,1.5,2016
"35","Darren Fells","ARI",3,2,2,15,0,1.5,1.5,2016
"36","Demetrius Harris","KC",3,3,2,14,0,1.4,1.4,2016
"37","Will Tye","NYG",3,5,3,14,0,1.4,1.4,2016
"38","Sean McGrath","SD",3,1,1,13,0,1.3,1.3,2016
"39","Justin Perillo","GB",3,1,1,13,0,1.3,1.3,2016
"40","Julius Thomas","JAC",3,5,2,13,0,1.3,1.3,2016
"41","Cole Wick","DET",3,1,1,13,0,1.3,1.3,2016
"42","Larry Donnell","NYG",3,4,3,11,0,1.1,1.1,2016
"43","Jesse James","PIT",3,4,2,10,0,1,1,2016
"44","Ross Travis","KC",3,2,2,10,0,1,1,2016
"45","Luke Willson","SEA",3,3,2,9,0,0.9,0.9,2016
"46","Brandon Myers","TB",3,3,1,7,0,0.7,0.7,2016
"47","Jordan Cameron","MIA",3,1,1,5,0,0.5,0.5,2016
"48","Vance McDonald","SF",3,2,2,4,0,0.4,0.4,2016
"49","Lee Smith","OAK",3,1,1,4,0,0.4,0.4,2016
"50","Malcolm Johnson","CLE",3,1,1,3,0,0.3,0.3,2016
"51","Stephen Anderson","HOU",3,1,0,0,0,0,0,2016
"210","Blake Bell","SF",3,1,0,0,0,0,0,2016
"310","Charles Clay","BUF",3,2,0,0,0,0,0,2016
"410","Alan Cross","TB",3,1,0,0,0,0,0,2016
"52","Kellen Davis","NYJ",3,0,0,0,0,0,0,2016
"61","CJ Fiedorowicz","HOU",3,1,0,0,0,0,0,2016
"71","Jermaine Gresham","ARI",3,1,0,0,0,0,0,2016
"81","Rob Gronkowski","NE",3,1,0,0,0,0,0,2016
"91","Lance Kendricks","LAR",3,4,0,0,0,0,0,2016
"101","Troy Niklas","ARI",3,1,1,0,0,0,0,2016
"111","Phillip Supernaw","TEN",3,1,0,0,0,0,0,2016
"121","Geoff Swaim","DAL",3,1,0,0,0,0,0,2016
