TeamID,GameID,1stDowns,RushAtt,RushYDs,RushTDs,PassComp,PassAtt,PassYDs,PassTDs,Ints,Sacked,SackedYDs,NetPassYDs,TotalYDs,Fumbles,FumblesLost,Turnovers,Penalties,PenaltyYDs,3rdM,3rdAtt,4thM,4thAtt,TOP,Q1,Q2,Q3,Q4,OT,URL
5,2938,21,32,157,1,18,33,194,1,1,3,18,176,333,0,0,1,8,85,9,15,0,0,32:19:00,7,10,0,3,,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
10,2938,21,29,148,2,18,26,178,1,2,2,19,159,307,1,1,3,4,22,5,10,1,1,27:41:00,0,7,0,14,,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
12,2939,18,25,95,1,20,34,199,2,0,1,0,199,294,1,0,0,5,24,7,14,1,1,28:37:00,7,14,3,3,,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
15,2939,20,26,48,1,24,39,320,1,1,3,20,300,348,1,0,1,9,79,4,15,3,4,31:23:00,7,10,3,3,,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
4,2940,11,24,65,1,15,22,111,0,0,2,16,95,160,0,0,0,8,89,3,13,2,2,27:07:00,0,7,0,0,,http://www.pro-football-reference.com/boxscores/201609110rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
3,2940,18,28,83,0,22,33,258,1,0,4,33,225,308,1,1,1,6,35,6,15,0,1,32:53:00,3,7,0,3,,http://www.pro-football-reference.com/boxscores/201609110rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
6,2941,14,20,73,1,16,29,216,1,1,5,31,185,258,2,0,1,4,30,4,13,0,2,23:41,7,7,0,0,,http://www.pro-football-reference.com/boxscores/201609110htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
13,2941,17,35,129,0,22,35,231,2,1,2,16,215,344,1,0,1,6,69,12,20,0,0,36:19:00,0,10,3,10,,http://www.pro-football-reference.com/boxscores/201609110htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
7,2942,18,19,57,1,23,30,366,1,1,7,42,324,381,0,0,1,5,44,3,11,0,0,25:07:00,3,10,7,3,,http://www.pro-football-reference.com/boxscores/201609110nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
23,2942,22,30,152,0,19,35,189,2,1,1,1,188,340,1,0,1,7,95,4,12,0,0,34:53:00,7,9,0,6,,http://www.pro-football-reference.com/boxscores/201609110nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
8,2943,14,21,120,1,12,26,190,0,1,3,22,168,288,2,0,1,4,15,2,10,0,2,20:40,0,7,3,0,,http://www.pro-football-reference.com/boxscores/201609110phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
25,2943,23,34,133,1,22,37,278,2,0,2,8,270,403,2,0,0,7,46,5,15,1,1,39:20:00,7,6,9,7,,http://www.pro-football-reference.com/boxscores/201609110phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
19,2944,15,28,65,0,18,33,236,0,0,0,0,236,301,0,0,0,3,39,6,14,0,0,29:35:00,0,0,12,13,,http://www.pro-football-reference.com/boxscores/201609110oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
31,2944,19,22,64,0,25,41,271,2,1,2,19,252,316,2,2,3,2,10,8,14,0,0,30:25:00,3,7,0,6,,http://www.pro-football-reference.com/boxscores/201609110oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
24,2945,25,26,167,3,24,38,319,1,0,0,0,319,486,1,0,0,14,141,4,11,0,0,30:25:00,10,0,3,22,,http://www.pro-football-reference.com/boxscores/201609110nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
21,2945,27,22,88,0,28,42,423,4,0,1,4,419,507,2,1,1,7,53,4,11,1,1,29:35:00,3,14,7,10,,http://www.pro-football-reference.com/boxscores/201609110nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
30,2946,20,28,90,0,23,32,281,4,1,0,0,281,371,0,0,1,6,48,3,9,0,0,27:37:00,3,14,14,0,,http://www.pro-football-reference.com/boxscores/201609110atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
2,2946,19,22,52,0,27,39,334,2,0,3,12,322,374,0,0,0,7,74,3,13,1,2,32:23:00,10,3,8,3,,http://www.pro-football-reference.com/boxscores/201609110atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
27,2947,25,32,155,2,25,36,243,1,0,1,10,233,388,0,0,0,5,30,7,15,0,0,34:01:00,7,14,3,3,0,http://www.pro-football-reference.com/boxscores/201609110kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
16,2947,26,19,83,2,34,48,363,2,1,3,33,330,413,0,0,1,6,46,5,14,2,2,31:06:00,3,0,7,17,6,http://www.pro-football-reference.com/boxscores/201609110kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
18,2948,11,20,64,1,16,29,186,0,0,5,36,150,214,2,0,0,4,40,3,14,0,1,25:28:00,0,3,0,7,,http://www.pro-football-reference.com/boxscores/201609110sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
29,2948,21,32,112,0,27,43,258,1,1,3,18,240,352,1,1,2,8,69,5,16,2,3,34:32:00,3,3,0,6,,http://www.pro-football-reference.com/boxscores/201609110sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
22,2949,18,24,113,0,19,28,207,3,1,2,4,203,316,1,0,1,4,40,5,10,0,0,23:17,0,13,0,7,,http://www.pro-football-reference.com/boxscores/201609110dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
9,2949,24,30,101,1,25,45,227,0,0,0,0,227,328,0,0,0,6,50,10,17,0,0,36:43:00,3,6,7,3,,http://www.pro-football-reference.com/boxscores/201609110dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
11,2950,28,24,116,2,31,39,340,3,0,1,8,332,448,0,0,0,8,70,5,9,0,0,30:36:00,7,14,7,11,,http://www.pro-football-reference.com/boxscores/201609110clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
14,2950,25,19,82,0,31,47,385,4,0,2,17,368,450,0,0,0,5,45,9,16,0,0,29:24:00,0,10,8,17,,http://www.pro-football-reference.com/boxscores/201609110clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
20,2951,19,31,106,1,24,33,264,1,0,2,7,257,363,3,2,2,8,69,10,16,0,0,33:59:00,10,0,7,6,,http://www.pro-football-reference.com/boxscores/201609110crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
1,2951,21,19,92,1,24,37,271,2,0,3,19,252,344,1,0,0,6,58,6,12,0,0,26:01:00,0,7,7,7,,http://www.pro-football-reference.com/boxscores/201609110crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
26,2952,23,30,147,2,27,37,300,3,1,1,10,290,437,2,0,1,4,81,9,14,2,2,33:18:00,0,14,10,14,,http://www.pro-football-reference.com/boxscores/201609120was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
32,2952,18,12,55,1,30,43,329,0,2,0,0,329,384,1,0,2,9,55,3,10,0,2,26:42:00,6,0,3,7,,http://www.pro-football-reference.com/boxscores/201609120was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
17,2953,10,23,65,0,17,35,130,0,2,2,10,120,185,0,0,2,10,102,3,15,1,2,27:50:00,0,0,0,0,,http://www.pro-football-reference.com/boxscores/201609120sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
28,2953,28,42,150,3,22,35,170,1,0,0,0,170,320,2,1,1,2,10,8,17,1,2,32:10:00,7,7,0,14,,http://www.pro-football-reference.com/boxscores/201609120sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
23,2954,28,36,123,3,24,34,374,1,0,1,4,370,493,2,1,1,7,50,8,13,0,0,39:12:00,6,14,7,10,,http://www.pro-football-reference.com/boxscores/201609150buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
4,2954,16,19,86,0,19,31,307,3,1,0,0,307,393,1,0,1,6,59,3,10,1,2,20:48,7,3,14,7,,http://www.pro-football-reference.com/boxscores/201609150buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
31,2955,22,24,139,0,25,33,238,2,1,3,14,224,363,1,0,1,12,83,5,12,1,1,30:51:00,0,3,0,13,,http://www.pro-football-reference.com/boxscores/201609180det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
11,2955,22,23,137,0,22,40,260,1,1,4,22,238,375,0,0,1,17,138,7,16,0,0,29:09:00,9,3,3,0,,http://www.pro-football-reference.com/boxscores/201609180det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
3,2956,22,26,80,0,25,45,302,2,2,0,0,302,382,0,0,2,4,29,10,16,0,1,30:59:00,2,10,7,6,,http://www.pro-football-reference.com/boxscores/201609180cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
8,2956,17,23,145,1,20,33,260,2,2,3,18,242,387,3,0,2,8,59,8,15,1,1,29:01:00,20,0,0,0,,http://www.pro-football-reference.com/boxscores/201609180cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
16,2957,14,19,119,0,20,37,186,0,0,4,14,172,291,3,3,3,9,77,3,14,0,0,26:01:00,0,3,0,9,,http://www.pro-football-reference.com/boxscores/201609180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
13,2957,15,34,97,0,19,33,268,1,2,2,14,254,351,0,0,2,5,44,4,15,1,1,33:59:00,7,6,0,6,,http://www.pro-football-reference.com/boxscores/201609180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
18,2958,23,16,70,1,32,45,387,2,2,0,0,387,457,3,2,4,5,49,5,10,0,1,23:14,0,3,7,14,,http://www.pro-football-reference.com/boxscores/201609180nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
20,2958,29,38,161,1,24,35,324,3,0,2,22,302,463,3,1,1,7,65,7,14,0,0,36:46:00,14,10,7,0,,http://www.pro-football-reference.com/boxscores/201609180nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
7,2959,21,18,46,0,31,54,366,1,0,1,0,366,412,2,2,2,5,31,4,16,1,1,27:05:00,3,3,3,7,,http://www.pro-football-reference.com/boxscores/201609180pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
26,2959,19,36,124,0,19,37,259,3,2,1,9,250,374,0,0,2,5,54,7,17,0,1,32:55:00,7,3,7,7,,http://www.pro-football-reference.com/boxscores/201609180pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
9,2960,24,30,102,3,22,30,292,0,0,4,14,278,380,2,1,1,6,39,6,12,1,1,32:51:00,10,3,7,7,,http://www.pro-football-reference.com/boxscores/201609180was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
