TeamID,GameID,1stDowns,RushAtt,RushYDs,RushTDs,PassComp,PassAtt,PassYDs,PassTDs,Ints,Sacked,SackedYDs,NetPassYDs,TotalYDs,Fumbles,FumblesLost,Turnovers,Penalties,PenaltyYDs,3rdM,3rdAtt,4thM,4thAtt,TOP,Q1,Q2,Q3,Q4,OT,URL
PIT,,17,22,94,0,29,47,281,1,1,0,0,281,375,1,0,1,10,85,5,16,1,2,32:29,0,10,3,3,,http://www.pro-football-reference.com/boxscores/201610230pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
SEA,,11,19,52,0,24,37,225,0,0,1,20,205,257,2,0,0,10,90,3,14,0,0,28:39,0,0,0,3,6,http://www.pro-football-reference.com/boxscores/201610230crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
ARI,,23,37,132,0,29,49,342,0,0,4,31,311,443,1,0,0,6,45,10,21,0,1,46:21,0,3,0,0,6,http://www.pro-football-reference.com/boxscores/201610230crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
HOU,,14,25,140,0,22,41,131,0,0,1,0,131,271,4,2,2,2,15,7,18,0,2,29:22,6,0,3,0,,http://www.pro-football-reference.com/boxscores/201610240den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
DEN,,19,35,190,2,14,25,157,1,0,0,0,157,347,1,0,0,7,83,3,11,0,0,30:38,0,14,7,6,,http://www.pro-football-reference.com/boxscores/201610240den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
JAX,,27,11,48,0,33,54,337,3,0,2,15,322,370,2,1,1,7,75,6,13,0,1,25:35,0,0,8,14,,http://www.pro-football-reference.com/boxscores/201610270oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
TEN,,25,43,214,2,19,23,280,2,0,0,0,280,494,1,0,0,7,54,9,15,0,0,34:25,3,24,6,3,,http://www.pro-football-reference.com/boxscores/201610270oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
WAS,,30,31,100,1,38,56,458,2,1,1,12,446,546,0,0,1,15,106,8,17,0,2,39:42,7,3,7,10,27,http://www.pro-football-reference.com/boxscores/201610300cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
CIN,,35,36,152,3,27,42,284,1,1,3,21,263,415,2,1,2,7,85,8,15,0,0,35:18,7,0,13,7,27,http://www.pro-football-reference.com/boxscores/201610300cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
ARI,,22,10,24,0,35,46,363,3,1,8,47,316,340,2,1,2,10,88,4,12,1,1,29:12,0,7,7,6,,http://www.pro-football-reference.com/boxscores/201610300car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
CAR,,19,36,141,2,14,27,212,0,0,1,4,208,349,1,1,1,5,40,6,14,1,2,30:48,14,10,6,0,,http://www.pro-football-reference.com/boxscores/201610300car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
NYJ,,21,35,171,3,16,34,228,1,0,2,6,222,393,0,0,0,5,37,7,15,1,1,33:41,0,7,14,10,,http://www.pro-football-reference.com/boxscores/201610300cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
CLE,,22,18,68,1,27,51,345,2,2,1,6,339,407,1,0,2,2,10,8,16,0,0,26:19,10,10,0,8,,http://www.pro-football-reference.com/boxscores/201610300cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
KAN,,20,27,88,0,25,41,350,3,0,3,16,334,422,0,0,0,6,40,7,16,0,0,33:36,3,14,7,6,,http://www.pro-football-reference.com/boxscores/201610300clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
IND,,18,21,105,0,19,35,210,2,1,6,38,172,277,3,1,2,5,45,4,13,1,2,26:24,0,7,7,0,,http://www.pro-football-reference.com/boxscores/201610300clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
NWE,,23,23,72,1,22,33,315,4,0,5,30,285,357,1,0,0,10,116,9,13,0,0,29:51,14,10,14,3,,http://www.pro-football-reference.com/boxscores/201610300buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
BUF,,25,26,167,3,20,40,218,0,0,2,9,209,376,2,0,0,12,84,4,13,2,4,30:09,3,7,7,8,,http://www.pro-football-reference.com/boxscores/201610300buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
OAK,,27,24,128,0,40,59,513,4,0,2,15,498,626,1,1,1,23,200,7,18,1,1,44:12,0,3,14,7,30,http://www.pro-football-reference.com/boxscores/201610300tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
TAM,,18,27,102,1,16,32,180,2,0,2,12,168,270,2,0,0,6,64,4,13,0,0,29:03,3,7,0,14,24,http://www.pro-football-reference.com/boxscores/201610300tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
SEA,,15,17,74,1,23,36,296,0,1,1,11,285,359,1,0,1,11,76,5,11,0,1,23:48,7,7,3,3,,http://www.pro-football-reference.com/boxscores/201610300nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
NOR,,28,35,123,1,27,35,265,1,0,2,13,252,375,1,1,1,2,10,9,15,0,0,36:12,0,13,3,9,,http://www.pro-football-reference.com/boxscores/201610300nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
DET,,19,14,58,0,27,41,240,1,0,1,9,231,289,0,0,0,8,75,3,11,0,1,26:02,0,3,0,10,,http://www.pro-football-reference.com/boxscores/201610300htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
HOU,,20,31,105,1,20,29,186,1,1,3,22,164,269,1,0,1,6,49,6,15,1,1,33:58,0,14,3,3,,http://www.pro-football-reference.com/boxscores/201610300htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
SDG,,21,26,123,0,20,47,267,2,3,4,21,246,369,0,0,3,8,52,7,17,0,2,33:08,7,0,6,6,,http://www.pro-football-reference.com/boxscores/201610300den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
DEN,,15,25,57,2,20,38,276,0,1,1,9,267,324,4,2,3,6,45,5,15,0,1,26:52,3,7,7,10,,http://www.pro-football-reference.com/boxscores/201610300den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
