"","Name","Tm","Week","PassCmp","PassAtt","PassYds","PassTD","Int","RushAtt","RushYds","RushTD","FPts","FPts_G","Year"
"2","Ben Roethlisberger","PIT",5,34,47,380,4,0,0,0,0,35,35,2016
"3","Philip Rivers","SD",5,21,30,359,4,2,0,0,0,34,34,2016
"4","Tom Brady","NE",5,28,40,406,3,0,2,14,0,33.7,33.7,2016
"5","Marcus Mariota","TEN",5,20,29,163,3,0,7,60,1,32.2,32.2,2016
"6","Brian Hoyer","CHI",5,33,43,397,2,0,1,-1,0,27.8,27.8,2016
"7","Andrew Luck","IND",5,28,39,322,2,0,5,13,0,25.4,25.4,2016
"8","Derek Carr","OAK",5,25,40,317,2,1,2,13,0,25.2,25.2,2016
"9","Blaine Gabbert","SF",5,18,31,162,1,2,10,70,1,25.1,25.1,2016
"10","Andy Dalton","CIN",5,29,41,269,2,0,6,34,0,24.9,24.9,2016
"11","Matthew Stafford","DET",5,19,25,180,3,0,6,16,0,22.6,22.6,2016
"12","Aaron Rodgers","GB",5,23,45,259,2,2,5,15,0,22.5,22.5,2016
"13","Dak Prescott","DAL",5,18,24,227,1,0,7,4,1,21.8,21.8,2016
"14","Sam Bradford","MIN",5,22,30,271,2,0,2,-2,0,21.4,21.4,2016
"15","Carson Wentz","PHI",5,25,33,238,2,1,2,14,0,21.3,21.3,2016
"16","Ryan Fitzpatrick","NYJ",5,25,38,255,1,0,1,9,0,17.7,17.7,2016
"17","Matt Ryan","ATL",5,15,28,267,1,0,3,3,0,17.7,17.7,2016
"18","Tyrod Taylor","BUF",5,12,23,124,2,0,5,28,0,17,17,2016
"19","Paxton Lynch","DEN",5,23,35,223,1,1,6,18,0,17,17,2016
"20","Kirk Cousins","WAS",5,29,41,260,1,1,1,-1,0,16.9,16.9,2016
"21","Jameis Winston","TB",5,18,30,219,1,0,4,6,0,15.6,15.6,2016
"22","Joe Flacco","BAL",5,30,46,210,1,0,1,6,0,15.1,15.1,2016
"23","Derek Anderson","CAR",5,18,28,278,0,2,1,4,0,14.3,14.3,2016
"24","Eli Manning","NYG",5,18,35,199,1,0,1,1,0,14.1,14.1,2016
"25","Drew Stanton","ARI",5,11,28,124,2,0,2,-2,0,14,14,2016
"26","Case Keenum","LAR",5,21,31,271,0,2,0,0,0,13.6,13.6,2016
"27","Brock Osweiler","HOU",5,19,42,184,1,1,0,0,0,13.2,13.2,2016
"28","Charlie Whitehurst","CLE",5,14,24,182,1,1,2,1,0,13.2,13.2,2016
"29","Ryan Tannehill","MIA",5,12,18,191,0,2,0,0,0,9.6,9.6,2016
"30","Cody Kessler","CLE",5,5,8,62,1,0,1,0,0,7.1,7.1,2016
"31","Landry Jones","PIT",5,0,0,0,0,0,2,-2,0,-0.2,-0.2,2016
"32","Jimmy Garoppolo","NE",5,0,1,0,0,0,2,-3,0,-0.3,-0.3,2016
