"","Name","Tm","Week","Target","Rec","RecYds","RecTD","RushAtt","RushYds","RushTD","FPts","FPts_G","Year"
"301","John Brown","ARI",5,4,1,11,0,0,0,0,1.1,1.1,2016
"311","Adam Humphries","TB",5,2,1,11,0,0,0,0,1.1,1.1,2016
"321","Breshad Perriman","BAL",5,5,2,11,0,0,0,0,1.1,1.1,2016
"331","Robby Anderson","NYJ",5,2,1,10,0,0,0,0,1,1,2016
"341","Lucky Whitehead","DAL",5,0,0,0,0,1,9,0,0.9,0.9,2016
"351","Kendall Wright","TEN",5,1,1,9,0,0,0,0,0.9,0.9,2016
"361","Rashad Ross","WAS",5,1,1,8,0,0,0,0,0.8,0.8,2016
"371","Malcolm Mitchell","NE",5,3,2,7,0,0,0,0,0.7,0.7,2016
"381","Charone Peake","NYJ",5,1,1,6,0,0,0,0,0.6,0.6,2016
"391","Ted Ginn Jr","CAR",5,1,1,5,0,0,0,0,0.5,0.5,2016
"401","Matt Slater","NE",5,0,0,0,0,1,5,0,0.5,0.5,2016
"411","Will Fuller","HOU",5,6,1,4,0,0,0,0,0.4,0.4,2016
"421","Dontrelle Inman","SD",5,3,1,3,0,0,0,0,0.3,0.3,2016
"431","Charles Johnson","MIN",5,1,1,2,0,0,0,0,0.2,0.2,2016
"441","Bradley Marquez","LAR",5,0,0,0,0,1,2,0,0.2,0.2,2016
"451","Ty Montgomery","GB",5,0,0,0,0,1,1,0,0.1,0.1,2016
"461","Kamar Aiken","BAL",5,3,0,0,0,0,0,0,0,0,2016
"471","Jaron Brown","ARI",5,3,0,0,0,0,0,0,0,0,2016
"481","Pharoh Cooper","LAR",5,1,0,0,0,0,0,0,0,0,2016
"491","Victor Cruz","NYG",5,2,0,0,0,0,0,0,0,0,2016
"501","Michael Floyd","ARI",5,3,0,0,0,0,0,0,0,0,2016
"511","Rashard Higgins","CLE",5,1,0,0,0,0,0,0,0,0,2016
"212","Tavarres King","NYG",5,1,0,0,0,0,0,0,0,0,2016
"312","JJ Nelson","ARI",5,1,0,0,0,0,0,0,0,0,2016
"412","Walter Powell","BUF",5,1,0,0,0,0,0,0,0,0,2016
"53","Andre Roberts","DET",5,1,0,0,0,0,0,0,0,0,2016
"62","Aldrick Robinson","ATL",5,1,0,0,0,0,0,0,0,0,2016
"72","Torrey Smith","SF",5,1,0,0,0,0,0,0,0,0,2016
"82","Kenny Stills","MIA",5,1,0,0,0,0,0,0,0,0,2016
"92","Rod Streater","SF",5,1,0,0,0,0,0,0,0,0,2016
