"","Name","Tm","Week","Target","Rec","RecYds","RecTD","RushAtt","RushYds","RushTD","FPts","FPts_G","Year"
"2","Julio Jones","ATL",4,15,12,300,1,0,0,0,36,36,2016
"3","Michael Crabtree","OAK",4,12,7,88,3,0,0,0,26.8,26.8,2016
"4","AJ Green","CIN",4,12,10,173,1,0,0,0,23.3,23.3,2016
"5","Brian Quick","LAR",4,6,2,69,2,0,0,0,18.9,18.9,2016
"6","Antonio Brown","PIT",4,5,4,64,2,0,0,0,18.4,18.4,2016
"7","Dontrelle Inman","SD",4,11,7,120,1,0,0,0,18,18,2016
"8","Eddie Royal","CHI",4,7,7,111,1,0,0,0,17.1,17.1,2016
"9","Steve Smith","BAL",4,11,8,111,1,0,0,0,17.1,17.1,2016
"10","Demaryius Thomas","DEN",4,7,6,94,1,0,0,0,15.4,15.4,2016
"11","Brandon Marshall","NYJ",4,12,4,89,1,0,0,0,14.9,14.9,2016
"12","Jeremy Kerley","SF",4,9,6,88,1,0,0,0,14.8,14.8,2016
"13","Emmanuel Sanders","DEN",4,13,8,88,1,0,0,0,14.8,14.8,2016
"14","John Brown","ARI",4,16,10,144,0,0,0,0,14.4,14.4,2016
"15","Will Fuller","HOU",4,9,7,81,1,0,0,0,14.1,14.1,2016
"16","Kenny Stills","MIA",4,3,1,74,1,0,0,0,13.4,13.4,2016
"17","Phillip Dorsett","IND",4,3,1,64,1,1,3,0,12.7,12.7,2016
"18","Allen Robinson","JAC",4,10,5,55,1,0,0,0,11.5,11.5,2016
"19","Philly Brown","CAR",4,7,5,48,1,0,0,0,10.8,10.8,2016
"20","Aldrick Robinson","ATL",4,3,2,48,1,0,0,0,10.8,10.8,2016
"21","Allen Hurns","JAC",4,4,2,47,1,0,0,0,10.7,10.7,2016
"22","Michael Thomas","NO",4,9,4,44,1,0,0,0,10.4,10.4,2016
"23","Terrance Williams","DAL",4,6,4,44,1,0,0,0,10.4,10.4,2016
"24","TY Hilton","IND",4,10,7,42,1,0,0,0,10.2,10.2,2016
"25","Tanner McEvoy","SEA",4,1,1,42,1,0,0,0,10.2,10.2,2016
"26","Brice Butler","DAL",4,9,5,41,1,0,0,0,10.1,10.1,2016
"27","Terrelle Pryor","CLE",4,9,5,46,1,1,-6,0,10,10,2016
"28","Kelvin Benjamin","CAR",4,7,3,39,1,0,0,0,9.9,9.9,2016
"29","Michael Floyd","ARI",4,7,3,36,1,0,0,0,9.6,9.6,2016
"30","Darrius HeywardBey","PIT",4,1,1,31,1,0,0,0,9.1,9.1,2016
"31","Markus Wheaton","PIT",4,1,1,30,1,0,0,0,9,9,2016
"32","Robert Woods","BUF",4,10,7,89,0,0,0,0,8.9,8.9,2016
"33","Kenny Britt","LAR",4,4,4,82,0,0,0,0,8.2,8.2,2016
"34","Tyreek Hill","KC",4,7,5,24,1,1,-2,0,8.2,8.2,2016
"35","Rishard Matthews","TEN",4,2,2,82,0,0,0,0,8.2,8.2,2016
"36","Sammie Coates","PIT",4,8,6,79,0,1,-1,0,7.8,7.8,2016
"37","Jeremy Maclin","KC",4,8,5,78,0,0,0,0,7.8,7.8,2016
"38","Marvin Jones","DET",4,7,5,74,0,0,0,0,7.4,7.4,2016
"39","Cole Beasley","DAL",4,4,3,66,0,1,7,0,7.3,7.3,2016
"40","Seth Roberts","OAK",4,3,3,12,1,0,0,0,7.2,7.2,2016
"41","Chris Conley","KC",4,7,6,70,0,0,0,0,7,7,2016
"42","Charles Johnson","MIN",4,4,2,70,0,0,0,0,7,7,2016
"43","Larry Fitzgerald","ARI",4,7,5,62,0,1,1,0,6.3,6.3,2016
"44","Jarvis Landry","MIA",4,10,7,61,0,0,0,0,6.1,6.1,2016
"45","Quincy Enunwa","NYJ",4,7,6,60,0,0,0,0,6,6,2016
"46","Mike Evans","TB",4,11,5,59,0,0,0,0,5.9,5.9,2016
"47","Devin Funchess","CAR",4,3,2,56,0,0,0,0,5.6,5.6,2016
"48","Kevin White","CHI",4,9,6,55,0,0,0,0,5.5,5.5,2016
"49","Doug Baldwin","SEA",4,4,4,54,0,0,0,0,5.4,5.4,2016
"50","Albert Wilson","KC",4,8,5,52,0,0,0,0,5.2,5.2,2016
"51","Victor Cruz","NYG",4,9,5,50,0,0,0,0,5,5,2016
"210","Taylor Gabriel","ATL",4,3,3,49,0,0,0,0,4.9,4.9,2016
"310","Travis Benjamin","SD",4,7,4,48,0,0,0,0,4.8,4.8,2016
"410","Amari Cooper","OAK",4,6,5,48,0,0,0,0,4.8,4.8,2016
"52","Mike Wallace","BAL",4,10,4,44,0,1,3,0,4.7,4.7,2016
"61","Stefon Diggs","MIN",4,7,5,47,0,1,-1,0,4.6,4.6,2016
"71","Alshon Jeffery","CHI",4,5,3,46,0,0,0,0,4.6,4.6,2016
"81","Brandon LaFell","CIN",4,6,4,44,0,0,0,0,4.4,4.4,2016
"91","Cordarrelle Patterson","MIN",4,6,5,38,0,1,2,0,4,4,2016
"101","Tyrell Williams","SD",4,8,5,40,0,0,0,0,4,4,2016
"111","Pierre Garcon","WAS",4,5,4,39,0,0,0,0,3.9,3.9,2016
"121","Chester Rogers","IND",4,3,2,39,0,0,0,0,3.9,3.9,2016
"131","Vincent Jackson","TB",4,5,3,38,0,0,0,0,3.8,3.8,2016
"141","Andre Johnson","TEN",4,5,3,33,0,0,0,0,3.3,3.3,2016
"151","Anquan Boldin","DET",4,8,6,31,0,0,0,0,3.1,3.1,2016
"161","Brandin Cooks","NO",4,6,3,31,0,0,0,0,3.1,3.1,2016
"171","Jaelen Strong","HOU",4,6,5,31,0,0,0,0,3.1,3.1,2016
"181","Charone Peake","NYJ",4,3,3,30,0,0,0,0,3,3,2016
"191","Sterling Shepard","NYG",4,7,4,30,0,0,0,0,3,3,2016
"201","Andrew Hawkins","CLE",4,3,3,28,0,0,0,0,2.8,2.8,2016
"211","Marqise Lee","JAC",4,6,4,28,0,0,0,0,2.8,2.8,2016
"221","Ricardo Louis","CLE",4,5,3,28,0,0,0,0,2.8,2.8,2016
"231","Cameron Meredith","CHI",4,5,4,28,0,0,0,0,2.8,2.8,2016
"241","Paul Richardson","SEA",4,1,1,27,0,0,0,0,2.7,2.7,2016
"251","Jordan Norwood","DEN",4,2,2,25,0,0,0,0,2.5,2.5,2016
"261","JJ Nelson","ARI",4,1,1,24,0,0,0,0,2.4,2.4,2016
"271","Breshad Perriman","BAL",4,5,3,24,0,0,0,0,2.4,2.4,2016
"281","Odell Beckham Jr","NYG",4,9,3,23,0,0,0,0,2.3,2.3,2016
"291","Jermaine Kearse","SEA",4,3,3,23,0,0,0,0,2.3,2.3,2016
"301","Willie Snead","NO",4,1,1,23,0,0,0,0,2.3,2.3,2016
"311","Walter Powell","BUF",4,5,4,22,0,0,0,0,2.2,2.2,2016
"321","Mohamed Sanu","ATL",4,3,2,22,0,0,0,0,2.2,2.2,2016
"331","Jamison Crowder","WAS",4,3,2,21,0,0,0,0,2.1,2.1,2016
"341","Adam Thielen","MIN",4,3,2,21,0,0,0,0,2.1,2.1,2016
"351","DeVante Parker","MIA",4,3,2,20,0,0,0,0,2,2,2016
"361","Brandon Coleman","NO",4,3,2,17,0,0,0,0,1.7,1.7,2016
"371","Julian Edelman","NE",4,4,1,16,0,1,1,0,1.7,1.7,2016
"381","Tajae Sharpe","TEN",4,7,2,15,0,0,0,0,1.5,1.5,2016
"391","Ted Ginn Jr","CAR",4,5,2,14,0,0,0,0,1.4,1.4,2016
"401","Kendall Wright","TEN",4,3,2,14,0,0,0,0,1.4,1.4,2016
"411","Tyler Lockett","SEA",4,3,1,13,0,0,0,0,1.3,1.3,2016
"421","Quinton Patton","SF",4,3,1,13,0,0,0,0,1.3,1.3,2016
"431","Robby Anderson","NYJ",4,6,2,12,0,0,0,0,1.2,1.2,2016
"441","Marquise Goodwin","BUF",4,5,1,12,0,0,0,0,1.2,1.2,2016
"451","Tommylee Lewis","NO",4,1,1,9,0,1,3,0,1.2,1.2,2016
"461","Tyler Boyd","CIN",4,3,1,10,0,0,0,0,1,1,2016
"471","Neal Sterling","JAC",4,1,1,10,0,0,0,0,1,1,2016
"481","Kamar Aiken","BAL",4,4,3,9,0,0,0,0,0.9,0.9,2016
"491","Jordan Taylor","DEN",4,1,1,9,0,0,0,0,0.9,0.9,2016
"501","Tavon Austin","LAR",4,6,2,14,0,1,-6,0,0.8,0.8,2016
"511","Rashad Greene","JAC",4,1,1,8,0,0,0,0,0.8,0.8,2016
"212","Andre Roberts","DET",4,1,1,8,0,0,0,0,0.8,0.8,2016
"312","Lucky Whitehead","DAL",4,0,0,0,0,1,8,0,0.8,0.8,2016
"412","Jaron Brown","ARI",4,5,1,7,0,0,0,0,0.7,0.7,2016
"53","Chris Moore","BAL",4,4,1,6,0,0,0,0,0.6,0.6,2016
"62","Aaron Burbridge","SF",4,2,1,5,0,0,0,0,0.5,0.5,2016
"72","DeSean Jackson","WAS",4,2,1,5,0,0,0,0,0.5,0.5,2016
"82","DeAndre Hopkins","HOU",4,6,1,4,0,0,0,0,0.4,0.4,2016
"92","Adam Humphries","TB",4,4,1,4,0,0,0,0,0.4,0.4,2016
"102","Brandon Tate","BUF",4,0,0,0,0,1,4,0,0.4,0.4,2016
"112","Torrey Smith","SF",4,2,1,3,0,0,0,0,0.3,0.3,2016
"122","Joe Webb","CAR",4,1,1,3,0,0,0,0,0.3,0.3,2016
"132","Arrelious Benn","JAC",4,2,1,1,0,0,0,0,0.1,0.1,2016
"142","Golden Tate","DET",4,4,1,1,0,0,0,0,0.1,0.1,2016
"152","Danny Amendola","NE",4,2,0,0,0,0,0,0,0,0,2016
"162","Leonte Carroo","MIA",4,1,0,0,0,0,0,0,0,0,2016
"172","Bennie Fowler","DEN",4,3,0,0,0,0,0,0,0,0,2016
"182","Dwayne Harris","NYG",4,0,0,0,0,0,0,0,0,0,2016
"192","Chris Hogan","NE",4,2,0,0,0,0,0,0,0,0,2016
"202","Cody Latimer","DEN",4,2,0,0,0,0,0,0,0,0,2016
"213","Freddie Martino","TB",4,1,0,0,0,0,0,0,0,0,2016
"222","Bryan Walters","JAC",4,1,0,0,0,0,0,0,0,0,2016
