Sonny Jurgensen+
Paul Justin

K

Colin Kaepernick
Mike Kafka
Danny Kanell
Ave Kaplan
Joe Kapp
Ken Karcher
Abe Karnofsky
Val Keckin
Rabbit Keen
Case Keenum
Gary Keithley
Mike Kelley
Jeff Kelly
Jim Kelly+
Jack Kemp
Jeff Kemp
Herb Kempton
Tom Kennedy
Bill Kenney
Gary Kerkorian
Mike Kerrigan
Blair Kiel
Billy Kilmer
Shaun King
Kliff Kingsbury
G.J. Kinne
Mike Kirkland
Jon Kitna
Kurt Kittner
Perry Klein
David Klingler
Don Klosterman
Greg Knafelc
Jeff Knapple
Ronnie Knox
Mickey Kobrosky
Matt Kofler
Mike Koken
Kevin Kolb
Jeff Komlo
Bernie Kosar
Erik Kramer
Tommy Kramer
Craig Krenzel
Eric Kresser
Dave Krieg
Mike Kruczek
John Ksionzyk
Gary Kubiak
Irv Kupcinet
Craig Kupp

L

Porter Lainhart
Daryle Lamonica
Greg Landry
Tom Landry+
Gary Lane
Bob Laraba
Paul Larson
Pete Lauer
Babe Laufenberg
Larry Lawrence
Bobby Layne+
Ryan Leaf
Bob Leahy
Eddie LeBaron
Jim LeClair
Hal Ledyard
Bernie Lee
Bob Lee
Jacky Lee
Tuffy Leemans+
Dan LeFevour
Clyde LeForce
Byron Leftwich
Dave Leggett
Matt Leinart
Bruce Lemmerman
Cleo Lemon
Cliff Lewis
Dave Lewis
Jeff Lewis
Thaddeus Lewis
Ryan Lindley
Menz Lindsey
Rusty Lisch
Pete Liske
Mike Livingston
Seth Lobato
Jake Locker
Neil Lomax
Chuck Long
Johnny Long
Clint Longley
Dean Look
Jared Lorenzen
J.P. Losman
Mike Loyd
Ray Lucas
Richie Lucas
Andrew Luck
Oliver Luck
Terry Luck
Sid Luckman+
Johnny Lujack
Ed Luther
Matt Lytle

M

Mike Machurek
Kyle Mackey
Bill Mackrides
Tommy Maddox
Lou Mahrt
Don Majkowski
Ryan Mallett
Ray Mallouf
Mark Malone
Mark Manges
Archie Manning
Eli Manning
Peyton Manning
Sean Mannion
Dan Manucci
EJ Manuel
Johnny Manziel
Gary Marangi
Ted Marchibroda
Joe Margucci
Dan Marino+
Todd Marinovich
Marcus Mariota
Ralph Marston
Ingle Martin
Jamie Martin
Tee Martin
Bernie Masterson
Bruce Mathison
Charlie Mathys
Tom Matte
Shane Matthews
Steve Matthews
Matt Mauck
Dean May
Dave Mays
A.J. McCarron
John McCarthy
Brian McClure
John McCormick
Josh McCown
Luke McCown
Colt McCoy
Paul McDonald
Coley McDonough
Greg McElroy
Stephen McGee
Matt McGloin
Monte McGuire
Dan McGwire
Lamar McHan
Rick McIvor
Jim McMahon
Mike McMahon
Donovan McNabb
Steve McNair
Reggie McNeal
Cade McNown
Kim McQuilken
Don Meredith
Zach Mettenberger
Ron Meyer
Mike Micka
Pete Mikolajewski
Don Milan
Scott Milanovich
Hugh Millen
Chris Miller
Jim Miller
Larry Miller
Mark Miller
Mark Miller
Ron Miller
Charlie Milstead
Ed Mioduszewski
George Mira
Rick Mirer
Scott Mitchell
Keith Molesworth
Bob Monnett
Tommy Mont
Joe Montana+
Warren Moon+
Kellen Moore
Matt Moore
Shawn Moore
Moses Moreno
Mike Moroski
Earl Morrall
Stephen Morris
Dennis Morrison
Craig Morton
Perry Moss
George Munns
Bill Munson
Aaron Murray
Bill Musgrave
Steve Myer
Tom Myers

N

Ray Nagel
Browning Nagle
Craig Nall
Joe Namath+
Bob Naponic
Ryan Nassib
John Navarre
Bill Nelsen
Steve Nemeth
Rick Neuheisel
Cam Newton
Gifford Nielsen
Jerry Niles
Jim Ninowski
Emery Nix
Kent Nix
Terry Nofsinger
Reino Nori
Dick Norman
David Norrie
Mike Norseth
Rick Norton
Mike Nott
Terry Nugent
Keith Null
Doug Nussmeier

O

Davey O'Brien
Ken O'Brien
Kevin O'Connell
Tommy O'Connell
Neil O'Donnell
Tom O'Malley
Charlie O'Rourke
J.T. O'Sullivan
Cliff Olander
Vince Oliver
Dan Orlovsky
Kyle Orton
Sandy Osiecki
Brock Osweiler
Tom Owen

P

Mike Pagel
Curtis Painter
Tyler Palko
Carson Palmer
Jesse Palmer
Jordan Palmer
Don Panciera
Nick Papac
Babe Parilli
Ace Parker+
Dan Pastorini
Alan Pastrana
Frank Patrick
Sean Payton
Pard Pearce
Brent Pease
Doug Pederson
Rodney Peete
Steve Pelluer
Chad Pennington
Craig Penrose
Mike Perrie
Todd Philcox
Mike Phipps
Cody Pickett
Tony Pike
Joe Pisarcik
Steve Pisarkiewicz
Milt Plum
Jake Plummer
Jim Plunkett
Christian Ponder
Josh Portis
Jim Powers
Cotton Price
Terrelle Pryor
Bob Ptacek

Q

Bernard Quarles
Brady Quinn
Jonathan Quinn
Mike Quinn

R

Warren Rabb
Mike Rae
Dave Ragone
Larry Rakestraw
Patrick Ramsey
Steve Ramsey
Tom Ramsey
Walt Rankin
Bob Rapp
Brett Ratliff
Tim Rattay
George Ratterman
John Rauch
John Reaves
Chris Redman
Joe Reed
Mark Reed
Ken Reese
Frank Reich
Jerry Reichow
Albie Reisz
Sean Renfree
M.C. Reynolds
Jerry Rhome
Bucky Richardson
Wally Richardson
Paul Rickards
Tim Riordan
Alan Risher
James Ritchey
Philip Rivers
John Roach
Archie Roberts
Matt Robinson
Tony Robinson
Zac Robinson
Aaron Rodgers
Jordan Rodgers
Ben Roethlisberger
Steve Romanik
Tony Romo
Jim Root
Timm Rosenbach
Sage Rosenfels
Tobin Rote
Jeff Rowe
Ed Rubbert
T.J. Rubley
Benny Russell
JaMarcus Russell
Ed Rutkowski
Jeff Rutledge
Frank Ryan
Matt Ryan
Pat Ryan
Mark Rypien

S

Tony Sacca
Nick Sacrinty
Ed Salem
Sean Salisbury
Mark Sanchez
Frank Santora
Charley Sarratt
Cory Sauter
Tom Savage
Jack Scarbath
Matt Schaub
Henry Schichtle
Art Schlichter
Herm Schneidman
Turk Schonert
Jay Schroeder
Bob Schweickert
Bud Schwenk
John Sciarra
Nick Scollard
Bobby Scott
Matt Scott
Bob Scrabis
Charlie Seabright
Nick Sebek
Scott Secules
Frank Seurer
Connor Shaw
Dennis Shaw
George Shaw
Allie Sherman
Solly Sherman
Tom Sherman
Joe Shield
Dick Shiner
Heath Shuler
Trevor Siemian
Butch Simas
Chris Simms
Matt Simms
Phil Simms
Eber Simpson
Brian Sipe
John Skelton
Mickey Slaughter
Steve Sloan
Akili Smith
Alex Smith
Geno Smith
Milt Smith
Ron Smith
Rusty Smith
Troy Smith
Norm Snead
Bob Snyder
Loren Snyder
Butch Songin
Brad Sorensen
Jim Sorgi
Ronnie Lee South
Dennis Sproul
Steve Spurrier
Brian St. Pierre
Ken Stabler
Matthew Stafford
Scott Stankavage
Drew Stanton
Ricky Stanzi
Bart Starr+
Roger Staubach+
Steve Stenstrom
Harold Stephens
Nick Stephens
Kay Stephenson
Joey Sternaman
Billy Stevens
Mark Stevens
Matt Stevens
Kordell Stewart
Clint Stoerner
John Stofa
Ken Stofer
Anton Stolfa
Cliff Stoudt
Kelly Stouffer
Don Strock
Rick Strom
Pat Sullivan
Carl Summerell
Kevin Sweeney
Karl Sweetan

T

Jerry Tagge
Mike Taliaferro
Ryan Tannehill
Alex Tanney
Fran Tarkenton+
Jimmy Tarrant
Jim Bob Taylor
Troy Taylor
Tyrod Taylor
Tim Tebow
Steve Tensi
George Terlep
Vinny Testaverde
Joe Theismann
Harry Theofiledes
Tyler Thigpen
Logan Thomas
Bobby Thomason
Jack Thompson
Kevin Thompson
Tommy Thompson
Bruce Threadgill
Willie Thrower
Travis Tidwell
Scott Tinsley
Y.A. Tittle+
Richard Todd
Billy Joe Tolliver
Scott Tolzien
Mike Tomczak
Gino Torretta
Willie Totten
Frank Tripucka
Rick Trocano
Bob Trocolor
Bill Troup
Jack Trudeau
Don Trull
Jeff Tuel
Marques Tuiasosopo
Tom Tupa
Ricky Turner

U

Johnny Unitas+

V

Sam Vacanti
Norm Van Brocklin+
Tim Van Galder
Alex Van Pelt
Bradlee Van Pelt
Jeff Van Raaphorst
Ron Vander Kelen
Dustin Vaughan
Marcus Vick
Michael Vick
Mark Vlasic
Billy Volek

W

Billy Wade
Tommy Wade
Jay Walker
Bev Wallace
Seneca Wallace
Steve Walsh
Andrew Walter
Dave Walter
John Walton
Jim Ward
Andre Ware
Kurt Warner
Dewey Warren
Bob Waterfield+
Bob Waters
Foster Watkins
Adam Weber
Brandon Weeden
Norris Weese
Chris Weinke
Casey Weldon
Larry Weldon
Mike Wells
Keith Wenning
Manch Wheeler
Craig Whelihan
Danny White
Harvey White
Charlie Whitehurst
David Whitehurst
Todd Whitten
Erik Wilhelm
Bob Williams
Doug Williams
Peter Tom Willis
Drew Willy
Dave Wilson
Eddie Wilson
George Wilson
John Parker Wilson
Marc Wilson
Russell Wilson
Tyler Wilson
Wade Wilson
Jameis Winston
Sonny Winters
John Witkowski
Dick Wood
Gary Wood
Al Woodall
Tory Woodbury
David Woodley
Scott Woolf
Anthony Wright
Randy Wright
Ted Wright
Danny Wuerffel
Fred Wyant
Sam Wyche
Spergon Wynn

Y

T.J. Yates
Tom Yewcic
Jim Youel
Steve Young+
Vince Young

Z

Eric Zeier
Roy Zimmerman
Scott Zolak
Jim Zorn
