Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,
Deonte Thompson,CHI,4,87,21.8,0,27,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kenjon Barner,PHI,1,26,26.0,0,26,1,22,22.0,0,22,http://www.pro-football-reference.com/boxscores/201612180rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nelson Agholor,PHI,1,27,27.0,0,27,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Moore,BAL,4,98,24.5,0,34,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lardarius Webb,BAL,1,8,8.0,0,8,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bryan Walters,JAX,0,0,,0,0,2,9,4.5,0,10,http://www.pro-football-reference.com/boxscores/201612180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marqise Lee,JAX,2,133,66.5,1,100,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Will Fuller,HOU,1,12,12.0,0,12,4,38,9.5,0,25,http://www.pro-football-reference.com/boxscores/201612180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Akeem Hunt,HOU,1,24,24.0,0,24,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
JaCorey Shepherd,SFO,5,112,22.4,0,41,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eric Weems,ATL,0,0,,0,0,2,42,21.0,0,42,http://www.pro-football-reference.com/boxscores/201612180atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tommylee Lewis,NOR,2,40,20.0,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brittan Golden,ARI,6,143,23.8,0,35,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Julian Edelman,NWE,0,0,,0,0,3,21,7.0,0,16,http://www.pro-football-reference.com/boxscores/201612180den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dion Lewis,NWE,1,23,23.0,0,23,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Norwood,DEN,0,0,,0,0,2,5,2.5,0,5,http://www.pro-football-reference.com/boxscores/201612180den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cody Latimer,DEN,2,52,26.0,0,31,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jalen Richard,OAK,0,0,,0,0,2,11,5.5,0,8,http://www.pro-football-reference.com/boxscores/201612180sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
DeAndre Washington,OAK,1,20,20.0,0,20,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Isaiah Burse,SDG,2,38,19.0,0,21,1,3,3.0,0,3,http://www.pro-football-reference.com/boxscores/201612180sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Hunter Henry,SDG,1,10,10.0,0,10,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Geremy Davis,SDG,1,9,9.0,0,9,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Huff,TAM,3,55,18.3,0,26,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lucky Whitehead,DAL,3,72,24.0,0,25,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201612180dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ted Ginn,CAR,0,0,,0,0,5,59,11.8,0,19,http://www.pro-football-reference.com/boxscores/201612190was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Joe Webb,CAR,1,16,16.0,0,16,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612190was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Fozzy Whittaker,CAR,1,15,15.0,0,15,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612190was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jamison Crowder,WAS,0,0,,0,0,3,14,4.7,0,5,http://www.pro-football-reference.com/boxscores/201612190was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Thompson,WAS,1,16,16.0,0,16,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612190was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Will Blackmon,WAS,1,17,17.0,0,17,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612190was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dwayne Harris,NYG,3,60,20.0,0,24,3,-2,-0.7,0,4,http://www.pro-football-reference.com/boxscores/201612220phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bobby Rainey,NYG,1,22,22.0,0,22,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612220phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nelson Agholor,PHI,2,38,19.0,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612220phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bashaud Breeland,WAS,1,18,18.0,0,18,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bralon Addison,CHI,1,18,18.0,0,18,1,3,3.0,0,3,http://www.pro-football-reference.com/boxscores/201612240chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Deonte Thompson,CHI,2,47,23.5,0,33,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marcus Sherels,MIN,0,0,,0,0,2,20,10.0,0,20,http://www.pro-football-reference.com/boxscores/201612240gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
David Morgan,MIN,1,11,11.0,0,11,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Thielen,MIN,1,19,19.0,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Micah Hyde,GNB,0,0,,0,0,4,40,10.0,0,19,http://www.pro-football-reference.com/boxscores/201612240gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Christine Michael,GNB,3,64,21.3,0,30,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ty Montgomery,GNB,1,21,21.0,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marc Mariani,TEN,0,0,,0,0,1,-2,-2.0,0,-2,http://www.pro-football-reference.com/boxscores/201612240jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bryan Walters,JAX,0,0,,0,0,2,10,5.0,0,10,http://www.pro-football-reference.com/boxscores/201612240jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Isaiah Burse,SDG,0,0,,0,0,4,20,5.0,0,11,http://www.pro-football-reference.com/boxscores/201612240cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mario Alford,CLE,2,56,28.0,0,31,3,19,6.3,0,8,http://www.pro-football-reference.com/boxscores/201612240cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jarvis Landry,MIA,0,0,,0,0,2,25,12.5,0,16,http://www.pro-football-reference.com/boxscores/201612240buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jakeem Grant,MIA,1,41,41.0,0,41,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kenyan Drake,MIA,1,39,39.0,0,39,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon Tate,BUF,2,35,17.5,0,22,1,23,23.0,0,23,http://www.pro-football-reference.com/boxscores/201612240buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mike Gillislee,BUF,1,19,19.0,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eric Weems,ATL,0,0,,0,0,1,11,11.0,0,11,http://www.pro-football-reference.com/boxscores/201612240car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Justin Hardy,ATL,1,10,10.0,0,10,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ted Ginn,CAR,0,0,,0,0,1,12,12.0,0,12,http://www.pro-football-reference.com/boxscores/201612240car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Fozzy Whittaker,CAR,2,84,42.0,0,47,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Marshall,NYJ,4,57,14.3,0,20,2,7,3.5,0,4,http://www.pro-football-reference.com/boxscores/201612240nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Julian Edelman,NWE,0,0,,0,0,2,12,6.0,0,8,http://www.pro-football-reference.com/boxscores/201612240nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cyrus Jones,NWE,0,0,,0,0,1,4,4.0,0,4,http://www.pro-football-reference.com/boxscores/201612240nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chester Rogers,IND,0,0,,0,0,1,10,10.0,0,10,http://www.pro-football-reference.com/boxscores/201612240rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Todman,IND,2,39,19.5,0,27,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Ferguson,IND,1,19,19.0,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jalen Richard,OAK,2,44,22.0,0,23,1,8,8.0,0,8,http://www.pro-football-reference.com/boxscores/201612240rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeremy Kerley,SFO,0,0,,0,0,2,9,4.5,0,9,http://www.pro-football-reference.com/boxscores/201612240ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
JaCorey Shepherd,SFO,2,37,18.5,0,22,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tavon Austin,LAR,0,0,,0,0,5,12,2.4,0,9,http://www.pro-football-reference.com/boxscores/201612240ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pharoh Cooper,LAR,4,129,32.3,0,51,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chandler Jones,ARI,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201612240sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brittan Golden,ARI,1,16,16.0,0,16,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Patrick Peterson,ARI,1,11,11.0,0,11,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyler Lockett,SEA,1,28,28.0,0,28,2,7,3.5,0,4,http://www.pro-football-reference.com/boxscores/201612240sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Paul Richardson,SEA,2,56,28.0,0,32,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Humphries,TAM,0,0,,0,0,2,24,12.0,0,18,http://www.pro-football-reference.com/boxscores/201612240nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Huff,TAM,2,17,8.5,0,17,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612240nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Alex Erickson,CIN,4,107,26.8,0,35,6,16,2.7,0,7,http://www.pro-football-reference.com/boxscores/201612240htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Jones,CIN,0,0,,0,0,1,-1,-1.0,0,-1,http://www.pro-football-reference.com/boxscores/201612240htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyler Ervin,HOU,0,0,,0,0,4,32,8.0,0,14,http://www.pro-football-reference.com/boxscores/201612240htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Michael Campanaro,BAL,0,0,,0,0,2,25,12.5,0,14,http://www.pro-football-reference.com/boxscores/201612250pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Moore,BAL,1,19,19.0,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612250pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cobi Hamilton,PIT,2,39,19.5,0,20,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612250pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Fitzgerald Toussaint,PIT,1,20,20.0,0,20,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612250pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kalif Raymond,DEN,4,113,28.3,0,40,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201612250kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyreek Hill,KAN,1,17,17.0,0,17,4,21,5.3,0,11,http://www.pro-football-reference.com/boxscores/201612250kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andre Roberts,DET,2,64,32.0,0,42,1,23,23.0,0,23,http://www.pro-football-reference.com/boxscores/201612260dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lucky Whitehead,DAL,2,44,22.0,0,22,2,5,2.5,0,5,http://www.pro-football-reference.com/boxscores/201612260dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Darren McFadden,DAL,1,30,30.0,0,30,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612260dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mario Alford,CLE,2,60,30.0,0,36,3,26,8.7,0,17,http://www.pro-football-reference.com/boxscores/201701010pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eli Rogers,PIT,0,0,,0,0,3,15,5.0,0,10,http://www.pro-football-reference.com/boxscores/201701010pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cobi Hamilton,PIT,3,44,14.7,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ted Ginn,CAR,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201701010tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Damiere Byrd,CAR,1,31,31.0,0,31,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Fozzy Whittaker,CAR,1,35,35.0,0,35,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Humphries,TAM,0,0,,0,0,2,7,3.5,0,7,http://www.pro-football-reference.com/boxscores/201701010tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyler Ervin,HOU,0,0,,0,0,2,6,3.0,0,7,http://www.pro-football-reference.com/boxscores/201701010oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Akeem Hunt,HOU,2,29,14.5,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marc Mariani,TEN,1,19,19.0,0,19,3,41,13.7,0,18,http://www.pro-football-reference.com/boxscores/201701010oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Antonio Andrews,TEN,2,5,2.5,0,5,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon Tate,BUF,2,67,33.5,0,42,2,24,12.0,0,23,http://www.pro-football-reference.com/boxscores/201701010nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick O'Leary,BUF,1,14,14.0,0,14,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jalin Marshall,NYJ,1,32,32.0,0,32,5,24,4.8,0,19,http://www.pro-football-reference.com/boxscores/201701010nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Julian Edelman,NWE,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201701010mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dion Lewis,NWE,1,12,12.0,0,12,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
James Develin,NWE,1,15,15.0,0,15,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jakeem Grant,MIA,1,19,19.0,0,19,2,14,7.0,0,14,http://www.pro-football-reference.com/boxscores/201701010mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kenyan Drake,MIA,1,21,21.0,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bryan Walters,JAX,2,39,19.5,0,23,2,-2,-1.0,0,0,http://www.pro-football-reference.com/boxscores/201701010clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bralon Addison,CHI,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201701010min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Deonte Thompson,CHI,3,107,35.7,0,64,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marcus Sherels,MIN,0,0,,0,0,2,45,22.5,0,36,http://www.pro-football-reference.com/boxscores/201701010min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cordarrelle Patterson,MIN,1,35,35.0,0,35,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lucky Whitehead,DAL,2,40,20.0,0,20,3,23,7.7,0,12,http://www.pro-football-reference.com/boxscores/201701010phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Gavin Escobar,DAL,1,5,5.0,0,5,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Byron Marshall,PHI,2,36,18.0,0,23,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Michael Campanaro,BAL,0,0,,0,0,3,38,12.7,0,17,http://www.pro-football-reference.com/boxscores/201701010cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Moore,BAL,1,19,19.0,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Boyle,BAL,1,0,0.0,0,0,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Alex Erickson,CIN,1,14,14.0,0,14,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201701010cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Jones,CIN,0,0,,0,0,1,15,15.0,0,15,http://www.pro-football-reference.com/boxscores/201701010cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyreek Hill,KAN,0,0,,0,0,1,95,95.0,1,95,http://www.pro-football-reference.com/boxscores/201701010sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
De'Anthony Thomas,KAN,2,61,30.5,0,34,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Isaiah Burse,SDG,4,87,21.8,0,30,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Richard Sherman,SEA,0,0,,0,0,1,6,6.0,0,6,http://www.pro-football-reference.com/boxscores/201701010sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Paul Richardson,SEA,1,10,10.0,0,10,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
J.D. McKissic,SEA,1,22,22.0,0,22,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeremy Kerley,SFO,1,12,12.0,0,12,2,8,4.0,0,12,http://www.pro-football-reference.com/boxscores/201701010sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Raheem Mostert,SFO,2,35,17.5,0,26,0,33,,0,33,http://www.pro-football-reference.com/boxscores/201701010sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
JaCorey Shepherd,SFO,2,47,23.5,0,28,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jalen Richard,OAK,0,0,,0,0,2,18,9.0,0,9,http://www.pro-football-reference.com/boxscores/201701010den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kalif Raymond,DEN,2,24,12.0,0,12,4,50,12.5,0,25,http://www.pro-football-reference.com/boxscores/201701010den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Patrick Peterson,ARI,0,0,,0,0,4,26,6.5,0,17,http://www.pro-football-reference.com/boxscores/201701010ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tavon Austin,LAR,0,0,,0,0,3,18,6.0,0,18,http://www.pro-football-reference.com/boxscores/201701010ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pharoh Cooper,LAR,4,73,18.3,0,29,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tommylee Lewis,NOR,0,0,,0,0,2,10,5.0,0,6,http://www.pro-football-reference.com/boxscores/201701010atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eric Weems,ATL,0,0,,0,0,3,39,13.0,0,16,http://www.pro-football-reference.com/boxscores/201701010atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Justin Hardy,ATL,1,10,10.0,0,10,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dwayne Harris,NYG,0,0,,0,0,6,46,7.7,0,12,http://www.pro-football-reference.com/boxscores/201701010was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jamison Crowder,WAS,0,0,,0,0,5,40,8.0,0,19,http://www.pro-football-reference.com/boxscores/201701010was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Micah Hyde,GNB,0,0,,0,0,4,20,5.0,0,10,http://www.pro-football-reference.com/boxscores/201701010det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andre Roberts,DET,3,72,24.0,0,36,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201701010det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
