Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,
Kai Forbath,MIN,1,2,4,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeff Locke,MIN,,,,,1,42,42.0,42,http://www.pro-football-reference.com/boxscores/201612110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jason Myers,JAX,1,1,3,5,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brad Nortman,JAX,,,,,4,163,40.8,54,http://www.pro-football-reference.com/boxscores/201612110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Lambo,SDG,1,1,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Drew Kaser,SDG,,,,,3,122,40.7,47,http://www.pro-football-reference.com/boxscores/201612110car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Graham Gano,CAR,2,2,4,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Michael Palardy,CAR,,,,,5,215,43.0,49,http://www.pro-football-reference.com/boxscores/201612110car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Boswell,PIT,3,3,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Berry,PIT,,,,,2,101,50.5,56,http://www.pro-football-reference.com/boxscores/201612110buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dan Carpenter,BUF,2,3,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Colton Schmidt,BUF,,,,,6,270,45.0,55,http://www.pro-football-reference.com/boxscores/201612110buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chandler Catanzaro,ARI,,2,1,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Drew Butler,ARI,,,,,5,236,47.2,62,http://www.pro-football-reference.com/boxscores/201612110mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andrew Franks,MIA,3,3,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Darr,MIA,,,,,8,346,43.3,51,http://www.pro-football-reference.com/boxscores/201612110mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lac Edwards,NYJ,,,,,6,60,10.0,54,http://www.pro-football-reference.com/boxscores/201612110sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Folk,NYJ,,,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Phil Dawson,SFO,2,2,1,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bradley Pinion,SFO,,,,,6,239,39.8,46,http://www.pro-football-reference.com/boxscores/201612110sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Thomas Morstead,NOR,,,,,4,205,51.3,53,http://www.pro-football-reference.com/boxscores/201612110tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Wil Lutz,NOR,,,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Roberto Aguayo,TAM,1,1,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bryan Anger,TAM,,,,,4,185,46.3,57,http://www.pro-football-reference.com/boxscores/201612110tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Steven Hauschka,SEA,1,1,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jon Ryan,SEA,,,,,4,136,34.0,42,http://www.pro-football-reference.com/boxscores/201612110gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mason Crosby,GNB,5,5,1,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jake Schum,GNB,,,,,4,154,38.5,49,http://www.pro-football-reference.com/boxscores/201612110gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Bryant,ATL,6,6,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matthew Bosher,ATL,,,,,8,415,51.9,66,http://www.pro-football-reference.com/boxscores/201612110ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Greg Zuerlein,LAR,2,2,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Johnny Hekker,LAR,,,,,7,340,48.6,57,http://www.pro-football-reference.com/boxscores/201612110ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dan Bailey,DAL,1,1,,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Jones,DAL,,,,,9,384,42.7,52,http://www.pro-football-reference.com/boxscores/201612110nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Robbie Gould,NYG,1,1,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201612110nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brad Wing,NYG,,,,,9,389,43.2,57,http://www.pro-football-reference.com/boxscores/201612110nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Justin Tucker,BAL,2,2,3,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201612120nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sam Koch,BAL,,,,,6,289,48.2,65,http://www.pro-football-reference.com/boxscores/201612120nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Stephen Gostkowski,NWE,4,4,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201612120nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Allen,NWE,,,,,6,294,49.0,56,http://www.pro-football-reference.com/boxscores/201612120nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Johnny Hekker,LAR,,,,,4,216,54.0,66,http://www.pro-football-reference.com/boxscores/201612150sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Greg Zuerlein,LAR,,,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201612150sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Steven Hauschka,SEA,3,3,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201612150sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jon Ryan,SEA,,,,,3,108,36.0,40,http://www.pro-football-reference.com/boxscores/201612150sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andrew Franks,MIA,4,5,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201612170nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Darr,MIA,,,,,6,257,42.8,46,http://www.pro-football-reference.com/boxscores/201612170nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Folk,NYJ,1,1,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201612170nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lac Edwards,NYJ,,,,,3,119,39.7,52,http://www.pro-football-reference.com/boxscores/201612170nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Berry,PIT,,,,,1,40,40.0,40,http://www.pro-football-reference.com/boxscores/201612180cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Boswell,PIT,,,6,6,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Randy Bullock,CIN,2,2,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kevin Huber,CIN,,,,,3,141,47.0,54,http://www.pro-football-reference.com/boxscores/201612180cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Vinatieri,IND,4,4,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pat McAfee,IND,,,,,3,127,42.3,44,http://www.pro-football-reference.com/boxscores/201612180min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeff Locke,MIN,,,,,3,146,48.7,52,http://www.pro-football-reference.com/boxscores/201612180min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kai Forbath,MIN,,,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cody Parkey,CLE,1,1,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Britton Colquitt,CLE,,,,,5,222,44.4,53,http://www.pro-football-reference.com/boxscores/201612180buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dan Carpenter,BUF,3,4,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Colton Schmidt,BUF,,,,,2,90,45.0,48,http://www.pro-football-reference.com/boxscores/201612180buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sam Martin,DET,,,,,6,275,45.8,63,http://www.pro-football-reference.com/boxscores/201612180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Prater,DET,,,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Robbie Gould,NYG,2,2,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brad Wing,NYG,,,,,7,298,42.6,57,http://www.pro-football-reference.com/boxscores/201612180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Succop,TEN,1,1,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brett Kern,TEN,,,,,4,142,35.5,38,http://www.pro-football-reference.com/boxscores/201612180kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cairo Santos,KAN,2,2,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dustin Colquitt,KAN,,,,,6,273,45.5,57,http://www.pro-football-reference.com/boxscores/201612180kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mason Crosby,GNB,3,3,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jake Schum,GNB,,,,,4,168,42.0,52,http://www.pro-football-reference.com/boxscores/201612180chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Connor Barth,CHI,3,3,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pat O'Donnell,CHI,,,,,2,88,44.0,48,http://www.pro-football-reference.com/boxscores/201612180chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Donnie Jones,PHI,,,,,2,94,47.0,51,http://www.pro-football-reference.com/boxscores/201612180rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Caleb Sturgis,PHI,,,4,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Justin Tucker,BAL,3,3,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sam Koch,BAL,,,,,4,197,49.3,60,http://www.pro-football-reference.com/boxscores/201612180rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jason Myers,JAX,2,2,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brad Nortman,JAX,,,,,6,315,52.5,67,http://www.pro-football-reference.com/boxscores/201612180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Novak,HOU,1,1,4,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201612180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Shane Lechler,HOU,,,,,5,226,45.2,59,http://www.pro-football-reference.com/boxscores/201612180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
