Week,Day,Date,WinnerID,LoserID,WinnerScore,LoserScore,Stadium,Time,Duration,Attendance,Temperature,Humidity,Wind,Favored Team , spread,over/under,Result,URL
1,Sun,2009-09-13,2,18,19,7,Georgia Dome,1:05pm,2:50,67606,null,null,0,Atlanta Falcons ,4.0,44.5 ,U,http://www.pro-football-reference.com/boxscores/200909130atl.htm
1,Sun,2009-09-13,3,16,38,24,M&T Bank Stadium,1:02pm,3:18,71099,76,68,5,Baltimore Ravens ,13.0,36.5 ,O,http://www.pro-football-reference.com/boxscores/200909130rav.htm
1,Sun,2009-09-13,9,30,34,21,Raymond James Stadium,1:03pm,3:11,63806,85,82,6,Dallas Cowboys ,5.0,40.0 ,O,http://www.pro-football-reference.com/boxscores/200909130tam.htm
1,Sun,2009-09-13,10,7,12,7,Paul Brown Stadium,1:02pm,3:02,62831,73,47,7,Cincinnati Bengals ,5.0,41.0 ,U,http://www.pro-football-reference.com/boxscores/200909130cin.htm
1,Sun,2009-09-13,12,6,21,15,Lambeau Field,8:30pm,3:15,70920,76,59,0,Green Bay Packers ,5.0,47.0 ,U,http://www.pro-football-reference.com/boxscores/200909130gnb.htm
1,Sun,2009-09-13,14,15,14,12,Lucas Oil Stadium,1:02pm,2:44,65757,null,null,0,Indianapolis Colts ,6.0,45.0 ,U,http://www.pro-football-reference.com/boxscores/200909130clt.htm
1,Sun,2009-09-13,19,8,34,20,Cleveland Browns Stadium,1:03pm,3:00,70560,70,0,6,Minnesota Vikings ,4.5,40.0 ,O,http://www.pro-football-reference.com/boxscores/200909130cle.htm
1,Mon,2009-09-14,20,4,25,24,Gillette Stadium,7:10pm,3:03,68756,70,53,5,New England Patriots ,13.5,47.5 ,O,http://www.pro-football-reference.com/boxscores/200909140nwe.htm
1,Sun,2009-09-13,21,11,45,27,Louisiana Superdome,1:03pm,3:31,69719,null,null,0,New Orleans Saints ,14.0,50.0 ,O,http://www.pro-football-reference.com/boxscores/200909130nor.htm
1,Sun,2009-09-13,22,32,23,17,Giants Stadium,4:15pm,2:52,78206,80,41,8,New York Giants ,6.0,37.0 ,O,http://www.pro-football-reference.com/boxscores/200909130nyg.htm
1,Sun,2009-09-13,23,13,24,7,Reliant Stadium,1:03pm,2:53,70118,null,null,0,Houston Texans ,4.5,45.0 ,U,http://www.pro-football-reference.com/boxscores/200909130htx.htm
