Week,Day,Date,WinnerID,LoserID,WinnerScore,LoserScore,Stadium,Time,Duration,Attendance,Temperature,Humidity,Wind,Favored Team , spread,over/under,Result,URL
1,Mon,2014-09-08,1,27,18,17,University of Phoenix Stadium,9:20pm,3:08,61292,null,null,0,Arizona Cardinals ,3.0,45.0 ,U,http://www.pro-football-reference.com/boxscores/201409080crd.htm
1,Sun,2014-09-07,2,21,37,34,Georgia Dome,1:03pm,3:18,70706,null,null,0,New Orleans Saints ,3.0,51.5 ,O,http://www.pro-football-reference.com/boxscores/201409070atl.htm
1,Sun,2014-09-07,4,6,23,20,Soldier Field,1:00pm,3:17,62425,74,45,3,Chicago Bears ,7.0,47.0 ,U,http://www.pro-football-reference.com/boxscores/201409070chi.htm
1,Sun,2014-09-07,5,30,20,14,Raymond James Stadium,4:25pm,2:54,62442,88,29,6,Tampa Bay Buccaneers ,2.5,39.5 ,U,http://www.pro-football-reference.com/boxscores/201409070tam.htm
1,Sun,2014-09-07,7,3,23,16,M&T Bank Stadium,1:02pm,3:14,70925,74,45,8,Baltimore Ravens ,2.0,43.0 ,U,http://www.pro-football-reference.com/boxscores/201409070rav.htm
1,Sun,2014-09-07,10,14,31,24,Sports Authority Field at Mile High,8:30pm,3:13,76939,75,41,6,Denver Broncos ,7.5,55.0 ,P,http://www.pro-football-reference.com/boxscores/201409070den.htm
1,Mon,2014-09-08,11,22,35,14,Ford Field,7:11pm,2:56,64401,null,null,0,Detroit Lions ,5.5,47.0 ,O,http://www.pro-football-reference.com/boxscores/201409080det.htm
1,Sun,2014-09-07,13,32,17,6,NRG Stadium,1:03pm,2:56,71770,null,null,0,Houston Texans ,3.0,45.0 ,U,http://www.pro-football-reference.com/boxscores/201409070htx.htm
1,Sun,2014-09-07,18,20,33,20,Sun Life Stadium,1:03pm,3:17,70630,89,61,0,New England Patriots ,5.0,47.0 ,O,http://www.pro-football-reference.com/boxscores/201409070mia.htm
1,Sun,2014-09-07,19,17,34,6,Edward Jones Dome,1:00pm,3:03,55919,null,null,0,St. Louis Rams ,3.5,43.5 ,U,http://www.pro-football-reference.com/boxscores/201409070ram.htm
