Week,Day,Date,WinnerID,LoserID,WinnerScore,LoserScore,Stadium,Time,Duration,Attendance,Temperature,Humidity,Wind,Favored Team , spread,over/under,Result,URL
1,Sun,2014-09-07,23,24,19,14,MetLife Stadium,1:02pm,2:58,78160,76,47,12,New York Jets ,5.5,40.0 ,U,http://www.pro-football-reference.com/boxscores/201409070nyj.htm
1,Sun,2014-09-07,25,15,34,17,Lincoln Financial Field,1:02pm,3:23,69596,75,51,9,Philadelphia Eagles ,10.5,52.0 ,U,http://www.pro-football-reference.com/boxscores/201409070phi.htm
1,Sun,2014-09-07,26,8,30,27,Heinz Field,1:02pm,3:07,64598,71,55,6,Pittsburgh Steelers ,7.0,41.5 ,O,http://www.pro-football-reference.com/boxscores/201409070pit.htm
1,Sun,2014-09-07,28,9,28,17,AT&T Stadium,4:25pm,3:04,91174,null,null,0,San Francisco 49ers ,4.5,51.0 ,U,http://www.pro-football-reference.com/boxscores/201409070dal.htm
1,Thu,2014-09-04,29,12,36,16,CenturyLink Field,8:42pm,2:56,68424,71,52,11,Seattle Seahawks ,8.5,45.0 ,O,http://www.pro-football-reference.com/boxscores/201409040sea.htm
1,Sun,2014-09-07,31,16,26,10,Arrowhead Stadium,1:02pm,3:22,73569,69,57,7,Kansas City Chiefs ,3.5,43.0 ,U,http://www.pro-football-reference.com/boxscores/201409070kan.htm
10,Sun,2014-11-09,1,17,31,14,University of Phoenix Stadium,4:25pm,3:02,61363,null,null,0,Arizona Cardinals ,7.0,43.0 ,O,http://www.pro-football-reference.com/boxscores/201411090crd.htm
10,Sun,2014-11-09,2,30,27,17,Raymond James Stadium,1:04pm,3:13,57751,64,73,5,Atlanta Falcons ,3.0,47.0 ,U,http://www.pro-football-reference.com/boxscores/201411090tam.htm
10,Sun,2014-11-09,3,31,21,7,M&T Bank Stadium,1:03pm,2:55,70914,57,37,7,Baltimore Ravens ,10.5,44.5 ,U,http://www.pro-football-reference.com/boxscores/201411090rav.htm
10,Thu,2014-11-06,8,7,24,3,Paul Brown Stadium,8:29pm,3:14,65871,42,86,17,Cincinnati Bengals ,6.5,46.0 ,U,http://www.pro-football-reference.com/boxscores/201411060cin.htm
10,Sun,2014-11-09,9,15,31,17,Wembley Stadium,1:06pm,3:08,83603,50,71,3,Dallas Cowboys ,7.5,45.0 ,O,http://www.pro-football-reference.com/boxscores/201411090jax.htm
10,Sun,2014-11-09,10,24,41,17,O.co Coliseum,4:05pm,3:08,54803,68,65,6,Denver Broncos ,12.5,51.0 ,O,http://www.pro-football-reference.com/boxscores/201411090rai.htm
10,Sun,2014-11-09,11,18,20,16,Ford Field,1:02pm,3:08,63179,null,null,0,Detroit Lions ,3.0,43.0 ,U,http://www.pro-football-reference.com/boxscores/201411090det.htm
10,Sun,2014-11-09,12,6,55,14,Lambeau Field,8:30pm,3:22,78292,34,90,5,Green Bay Packers ,9.5,54.0 ,O,http://www.pro-football-reference.com/boxscores/201411090gnb.htm
10,Sun,2014-11-09,16,4,17,13,Ralph Wilson Stadium,1:02pm,3:02,68119,42,72,10,Buffalo Bills ,1.5,42.0 ,U,http://www.pro-football-reference.com/boxscores/201411090buf.htm
10,Sun,2014-11-09,23,26,20,13,MetLife Stadium,1:02pm,2:58,78160,58,36,8,Pittsburgh Steelers ,4.5,47.0 ,U,http://www.pro-football-reference.com/boxscores/201411090nyj.htm
10,Mon,2014-11-10,25,5,45,21,Lincoln Financial Field,8:32pm,3:10,69596,52,61,5,Philadelphia Eagles ,7.0,48.5 ,O,http://www.pro-football-reference.com/boxscores/201411100phi.htm
10,Sun,2014-11-09,28,21,27,24,Louisiana Superdome,1:03pm,3:38,73129,null,null,0,New Orleans Saints ,5.5,49.0 ,O,http://www.pro-football-reference.com/boxscores/201411090nor.htm
10,Sun,2014-11-09,29,22,38,17,CenturyLink Field,4:26pm,2:56,68352,50,88,0,Seattle Seahawks ,9.5,45.0 ,O,http://www.pro-football-reference.com/boxscores/201411090sea.htm
11,Sun,2014-11-16,1,11,14,6,University of Phoenix Stadium,4:25pm,2:52,62487,null,null,0,Arizona Cardinals ,1.0,41.0 ,U,http://www.pro-football-reference.com/boxscores/201411160crd.htm
11,Sun,2014-11-16,2,5,19,17,Bank of America Stadium,1:03pm,3:07,73314,48,28,3,Atlanta Falcons ,1.5,47.0 ,U,http://www.pro-football-reference.com/boxscores/201411160car.htm
11,Sun,2014-11-16,6,19,21,13,Soldier Field,1:02pm,2:56,61792,31,76,12,Chicago Bears ,2.5,46.5 ,U,http://www.pro-football-reference.com/boxscores/201411160chi.htm
11,Sun,2014-11-16,7,21,27,10,Louisiana Superdome,1:02pm,2:50,73073,null,null,0,New Orleans Saints ,7.0,51.0 ,U,http://www.pro-football-reference.com/boxscores/201411160nor.htm
11,Sun,2014-11-16,12,25,53,20,Lambeau Field,4:25pm,3:04,78270,28,72,13,Green Bay Packers ,5.5,55.0 ,O,http://www.pro-football-reference.com/boxscores/201411160gnb.htm
11,Sun,2014-11-16,13,8,23,7,FirstEnergy Stadium,1:03pm,3:10,67431,34,57,9,Cleveland Browns ,3.5,41.0 ,U,http://www.pro-football-reference.com/boxscores/201411160cle.htm
11,Sun,2014-11-16,16,29,24,20,Arrowhead Stadium,1:04pm,3:04,76463,21,65,8,null,0,42.5 ,O,http://www.pro-football-reference.com/boxscores/201411160kan.htm
11,Thu,2014-11-13,18,4,22,9,Sun Life Stadium,8:26pm,2:58,71573,74,76,4,Miami Dolphins ,5.0,42.0 ,U,http://www.pro-football-reference.com/boxscores/201411130mia.htm
11,Sun,2014-11-16,20,14,42,20,Lucas Oil Stadium,8:31pm,2:58,66751,null,null,0,Indianapolis Colts ,3.0,57.0 ,O,http://www.pro-football-reference.com/boxscores/201411160clt.htm
11,Mon,2014-11-17,26,31,27,24,LP Field,8:30pm,2:47,69143,25,64,9,Pittsburgh Steelers ,5.5,45.5 ,O,http://www.pro-football-reference.com/boxscores/201411170oti.htm
11,Sun,2014-11-16,27,24,13,6,Qualcomm Stadium,4:05pm,3:05,66720,72,40,13,San Diego Chargers ,10.0,45.0 ,U,http://www.pro-football-reference.com/boxscores/201411160sdg.htm
11,Sun,2014-11-16,28,22,16,10,MetLife Stadium,1:03pm,3:08,80352,42,53,0,San Francisco 49ers ,4.0,44.5 ,U,http://www.pro-football-reference.com/boxscores/201411160nyg.htm
11,Sun,2014-11-16,17,10,22,7,Edward Jones Dome,1:00pm,3:02,59401,null,null,0,Denver Broncos ,9.5,51.0 ,U,http://www.pro-football-reference.com/boxscores/201411160ram.htm
11,Sun,2014-11-16,30,32,27,7,FedExField,1:03pm,2:55,77442,45,39,6,Washington Redskins ,7.5,45.5 ,U,http://www.pro-football-reference.com/boxscores/201411160was.htm
12,Mon,2014-11-24,3,21,34,27,Louisiana Superdome,8:30pm,3:08,73373,null,null,0,New Orleans Saints ,3.0,51.0 ,O,http://www.pro-football-reference.com/boxscores/201411240nor.htm
12,Mon,2014-11-24,4,23,38,3,Ford Field,7:05pm,2:50,56044,null,null,0,Buffalo Bills ,2.5,42.5 ,U,http://www.pro-football-reference.com/boxscores/201411240buf.htm
12,Sun,2014-11-23,6,30,21,13,Soldier Field,1:02pm,3:17,61109,54,75,12,Chicago Bears ,4.5,46.5 ,U,http://www.pro-football-reference.com/boxscores/201411230chi.htm
12,Sun,2014-11-23,7,13,22,13,NRG Stadium,1:02pm,3:02,71777,null,null,0,Houston Texans ,2.5,44.5 ,U,http://www.pro-football-reference.com/boxscores/201411230htx.htm
12,Sun,2014-11-23,8,2,26,24,Georgia Dome,1:02pm,3:05,70046,null,null,0,Atlanta Falcons ,2.5,48.5 ,O,http://www.pro-football-reference.com/boxscores/201411230atl.htm
12,Sun,2014-11-23,9,22,31,28,MetLife Stadium,8:30pm,3:18,80520,51,58,2,Dallas Cowboys ,5.0,49.0 ,O,http://www.pro-football-reference.com/boxscores/201411230nyg.htm
12,Sun,2014-11-23,10,18,39,36,Sports Authority Field at Mile High,4:25pm,3:10,76987,39,36,6,Denver Broncos ,7.0,47.5 ,O,http://www.pro-football-reference.com/boxscores/201411230den.htm
12,Sun,2014-11-23,12,19,24,21,TCF Bank Stadium,1:03pm,2:57,52386,49,0,0,Green Bay Packers ,7.5,50.0 ,U,http://www.pro-football-reference.com/boxscores/201411230min.htm
12,Sun,2014-11-23,14,15,23,3,Lucas Oil Stadium,1:02pm,3:03,64328,null,null,0,Indianapolis Colts ,13.5,49.0 ,U,http://www.pro-football-reference.com/boxscores/201411230clt.htm
12,Sun,2014-11-23,20,11,34,9,Gillette Stadium,1:02pm,3:18,68756,58,40,7,New England Patriots ,7.0,47.5 ,U,http://www.pro-football-reference.com/boxscores/201411230nwe.htm
12,Thu,2014-11-20,24,16,24,20,O.co Coliseum,8:26pm,3:12,52865,57,88,6,Kansas City Chiefs ,7.0,42.5 ,O,http://www.pro-football-reference.com/boxscores/201411200rai.htm
12,Sun,2014-11-23,25,31,43,24,Lincoln Financial Field,1:02pm,3:34,69596,54,33,7,Philadelphia Eagles ,11.0,49.0 ,O,http://www.pro-football-reference.com/boxscores/201411230phi.htm
12,Sun,2014-11-23,27,17,27,24,Qualcomm Stadium,4:05pm,3:11,66040,72,40,5,San Diego Chargers ,5.0,43.5 ,O,http://www.pro-football-reference.com/boxscores/201411230sdg.htm
12,Sun,2014-11-23,28,32,17,13,Levi's Stadium,4:25pm,2:56,70799,62,44,9,San Francisco 49ers ,9.5,44.0 ,U,http://www.pro-football-reference.com/boxscores/201411230sfo.htm
12,Sun,2014-11-23,29,1,19,3,CenturyLink Field,4:06pm,2:45,68327,51,79,10,Seattle Seahawks ,7.0,41.5 ,U,http://www.pro-football-reference.com/boxscores/201411230sea.htm
13,Sun,2014-11-30,2,1,29,18,Georgia Dome,4:05pm,3:02,69557,null,null,0,Arizona Cardinals ,1.5,45.0 ,O,http://www.pro-football-reference.com/boxscores/201411300atl.htm
13,Sun,2014-11-30,4,8,26,10,Ralph Wilson Stadium,1:02pm,3:13,68576,57,61,17,Buffalo Bills ,3.0,42.0 ,U,http://www.pro-football-reference.com/boxscores/201411300buf.htm
13,Sun,2014-11-30,7,30,14,13,Raymond James Stadium,1:02pm,3:03,56340,77,54,7,Cincinnati Bengals ,6.0,43.5 ,U,http://www.pro-football-reference.com/boxscores/201411300tam.htm
13,Sun,2014-11-30,10,16,29,16,Arrowhead Stadium,8:32pm,3:05,76894,27,48,18,null,0,49.5 ,U,http://www.pro-football-reference.com/boxscores/201411300kan.htm
13,Thu,2014-11-27,11,6,34,17,Ford Field,12:39pm,3:11,64175,null,null,0,Detroit Lions ,7.0,46.5 ,O,http://www.pro-football-reference.com/boxscores/201411270det.htm
13,Sun,2014-11-30,12,20,26,21,Lambeau Field,4:25pm,3:00,78431,28,60,14,Green Bay Packers ,3.0,58.0 ,U,http://www.pro-football-reference.com/boxscores/201411300gnb.htm
13,Sun,2014-11-30,13,31,45,21,NRG Stadium,1:02pm,3:00,71714,null,null,0,Houston Texans ,7.0,43.0 ,O,http://www.pro-football-reference.com/boxscores/201411300htx.htm
13,Sun,2014-11-30,14,32,49,27,Lucas Oil Stadium,1:02pm,3:21,65352,null,null,0,Indianapolis Colts ,8.5,49.0 ,O,http://www.pro-football-reference.com/boxscores/201411300clt.htm
13,Sun,2014-11-30,15,22,25,24,EverBank Field,1:03pm,3:09,64687,71,0,5,New York Giants ,3.0,44.0 ,O,http://www.pro-football-reference.com/boxscores/201411300jax.htm
13,Mon,2014-12-01,18,23,16,13,MetLife Stadium,8:30pm,2:52,78160,42,75,6,Miami Dolphins ,7.0,41.5 ,U,http://www.pro-football-reference.com/boxscores/201412010nyj.htm
13,Sun,2014-11-30,19,5,31,13,TCF Bank Stadium,1:02pm,2:50,52016,12,0,17,Minnesota Vikings ,2.5,41.5 ,O,http://www.pro-football-reference.com/boxscores/201411300min.htm
13,Sun,2014-11-30,21,26,35,32,Heinz Field,1:02pm,3:18,61916,63,55,15,Pittsburgh Steelers ,3.5,54.5 ,O,http://www.pro-football-reference.com/boxscores/201411300pit.htm
13,Thu,2014-11-27,25,9,33,10,AT&T Stadium,4:36pm,3:13,91379,null,null,0,Dallas Cowboys ,3.5,57.0 ,U,http://www.pro-football-reference.com/boxscores/201411270dal.htm
13,Sun,2014-11-30,27,3,34,33,M&T Bank Stadium,1:02pm,3:24,71060,54,0,8,Baltimore Ravens ,6.5,45.5 ,O,http://www.pro-football-reference.com/boxscores/201411300rav.htm
13,Thu,2014-11-27,29,28,19,3,Levi's Stadium,8:31pm,3:01,70799,68,45,0,San Francisco 49ers ,1.5,40.5 ,U,http://www.pro-football-reference.com/boxscores/201411270sfo.htm
13,Sun,2014-11-30,17,24,52,0,Edward Jones Dome,1:00pm,3:11,55650,null,null,0,St. Louis Rams ,6.0,43.0 ,O,http://www.pro-football-reference.com/boxscores/201411300ram.htm
14,Sun,2014-12-07,1,16,17,14,University of Phoenix Stadium,4:05pm,3:10,62387,null,null,0,Kansas City Chiefs ,2.5,41.0 ,U,http://www.pro-football-reference.com/boxscores/201412070crd.htm
14,Sun,2014-12-07,3,18,28,13,Sun Life Stadium,1:02pm,3:05,70244,76,68,10,Miami Dolphins ,3.0,45.0 ,U,http://www.pro-football-reference.com/boxscores/201412070mia.htm
14,Sun,2014-12-07,5,21,41,10,Louisiana Superdome,1:03pm,3:16,73006,null,null,0,New Orleans Saints ,9.0,50.5 ,O,http://www.pro-football-reference.com/boxscores/201412070nor.htm
14,Thu,2014-12-04,9,6,41,28,Soldier Field,8:26pm,3:08,61558,35,62,5,Dallas Cowboys ,4.0,50.5 ,O,http://www.pro-football-reference.com/boxscores/201412040chi.htm
14,Sun,2014-12-07,10,4,24,17,Sports Authority Field at Mile High,4:05pm,3:07,76913,63,15,3,Denver Broncos ,9.5,47.5 ,U,http://www.pro-football-reference.com/boxscores/201412070den.htm
14,Sun,2014-12-07,11,30,34,17,Ford Field,1:02pm,3:10,61489,null,null,0,Detroit Lions ,10.5,42.0 ,O,http://www.pro-football-reference.com/boxscores/201412070det.htm
14,Mon,2014-12-08,12,2,43,37,Lambeau Field,8:30pm,3:16,77512,33,96,0,Green Bay Packers ,13.5,54.5 ,O,http://www.pro-football-reference.com/boxscores/201412080gnb.htm
14,Sun,2014-12-07,13,15,27,13,EverBank Field,1:03pm,3:00,61070,61,60,15,Houston Texans ,6.5,42.0 ,U,http://www.pro-football-reference.com/boxscores/201412070jax.htm
14,Sun,2014-12-07,14,8,25,24,FirstEnergy Stadium,1:03pm,3:28,67431,37,61,10,Indianapolis Colts ,3.0,50.0 ,U,http://www.pro-football-reference.com/boxscores/201412070cle.htm
14,Sun,2014-12-07,19,23,30,24,TCF Bank Stadium,1:02pm,3:17,52152,32,0,17,Minnesota Vikings ,4.5,40.0 ,O,http://www.pro-football-reference.com/boxscores/201412070min.htm
14,Sun,2014-12-07,20,27,23,14,Qualcomm Stadium,8:30pm,3:06,68815,67,59,7,New England Patriots ,4.0,54.0 ,U,http://www.pro-football-reference.com/boxscores/201412070sdg.htm
14,Sun,2014-12-07,22,31,36,7,LP Field,1:03pm,3:04,69143,45,57,6,New York Giants ,3.0,46.5 ,U,http://www.pro-football-reference.com/boxscores/201412070oti.htm
14,Sun,2014-12-07,24,28,24,13,O.co Coliseum,4:25pm,3:04,55300,63,78,0,San Francisco 49ers ,9.0,40.5 ,U,http://www.pro-football-reference.com/boxscores/201412070rai.htm
14,Sun,2014-12-07,26,7,42,21,Paul Brown Stadium,1:02pm,3:11,65512,39,70,8,Cincinnati Bengals ,3.0,47.5 ,O,http://www.pro-football-reference.com/boxscores/201412070cin.htm
14,Sun,2014-12-07,29,25,24,14,Lincoln Financial Field,4:25pm,3:17,69596,45,32,15,Seattle Seahawks ,2.0,48.0 ,U,http://www.pro-football-reference.com/boxscores/201412070phi.htm
14,Sun,2014-12-07,17,32,24,0,FedExField,1:03pm,2:49,71120,45,37,8,St. Louis Rams ,3.0,44.5 ,U,http://www.pro-football-reference.com/boxscores/201412070was.htm
15,Thu,2014-12-11,1,17,12,6,Edward Jones Dome,8:25pm,3:09,55880,null,null,0,St. Louis Rams ,4.5,40.5 ,U,http://www.pro-football-reference.com/boxscores/201412110ram.htm
15,Sun,2014-12-14,3,15,20,12,M&T Bank Stadium,1:02pm,3:07,70801,47,64,3,Baltimore Ravens ,13.5,45.0 ,U,http://www.pro-football-reference.com/boxscores/201412140rav.htm
15,Sun,2014-12-14,4,12,21,13,Ralph Wilson Stadium,1:02pm,3:14,70214,38,89,10,Green Bay Packers ,4.0,50.0 ,U,http://www.pro-football-reference.com/boxscores/201412140buf.htm
15,Sun,2014-12-14,5,30,19,17,Bank of America Stadium,1:03pm,3:10,72842,60,36,0,Carolina Panthers ,3.0,41.0 ,U,http://www.pro-football-reference.com/boxscores/201412140car.htm
15,Sun,2014-12-14,7,8,30,0,FirstEnergy Stadium,1:02pm,2:50,67431,43,94,7,Cleveland Browns ,1.0,44.0 ,U,http://www.pro-football-reference.com/boxscores/201412140cle.htm
15,Sun,2014-12-14,9,25,38,27,Lincoln Financial Field,8:35pm,3:04,69596,41,69,9,Philadelphia Eagles ,3.0,55.0 ,O,http://www.pro-football-reference.com/boxscores/201412140phi.htm
15,Sun,2014-12-14,10,27,22,10,Qualcomm Stadium,4:05pm,3:06,68682,64,46,6,Denver Broncos ,4.5,50.5 ,U,http://www.pro-football-reference.com/boxscores/201412140sdg.htm
15,Sun,2014-12-14,11,19,16,14,Ford Field,4:25pm,2:49,62490,null,null,0,Detroit Lions ,7.5,41.5 ,U,http://www.pro-football-reference.com/boxscores/201412140det.htm
15,Sun,2014-12-14,14,13,17,10,Lucas Oil Stadium,1:02pm,3:06,65148,null,null,0,Indianapolis Colts ,6.5,49.0 ,U,http://www.pro-football-reference.com/boxscores/201412140clt.htm
15,Sun,2014-12-14,16,24,31,13,Arrowhead Stadium,1:03pm,3:24,72153,58,78,16,Kansas City Chiefs ,10.0,41.5 ,O,http://www.pro-football-reference.com/boxscores/201412140kan.htm
15,Sun,2014-12-14,20,18,41,13,Gillette Stadium,1:02pm,3:08,68756,43,55,9,New England Patriots ,7.5,48.0 ,O,http://www.pro-football-reference.com/boxscores/201412140nwe.htm
15,Mon,2014-12-15,21,6,31,15,Soldier Field,8:30pm,3:03,60996,44,93,5,New Orleans Saints ,3.0,53.5 ,U,http://www.pro-football-reference.com/boxscores/201412150chi.htm
15,Sun,2014-12-14,22,32,24,13,MetLife Stadium,1:02pm,3:06,77628,43,63,9,New York Giants ,6.5,47.0 ,U,http://www.pro-football-reference.com/boxscores/201412140nyg.htm
15,Sun,2014-12-14,23,31,16,11,LP Field,4:05pm,3:15,69143,54,58,6,New York Jets ,3.0,42.0 ,U,http://www.pro-football-reference.com/boxscores/201412140oti.htm
15,Sun,2014-12-14,26,2,27,20,Georgia Dome,1:02pm,2:52,71161,null,null,0,Pittsburgh Steelers ,3.0,55.0 ,U,http://www.pro-football-reference.com/boxscores/201412140atl.htm
15,Sun,2014-12-14,29,28,17,7,CenturyLink Field,4:26pm,2:57,68526,46,74,4,Seattle Seahawks ,9.5,38.0 ,U,http://www.pro-football-reference.com/boxscores/201412140sea.htm
16,Sun,2014-12-21,2,21,30,14,Louisiana Superdome,1:03pm,3:00,73164,null,null,0,New Orleans Saints ,6.0,56.5 ,U,http://www.pro-football-reference.com/boxscores/201412210nor.htm
16,Sun,2014-12-21,5,8,17,13,Bank of America Stadium,1:04pm,3:02,73810,48,65,3,Carolina Panthers ,6.0,40.0 ,U,http://www.pro-football-reference.com/boxscores/201412210car.htm
16,Mon,2014-12-22,7,10,37,28,Paul Brown Stadium,8:30pm,3:20,66107,47,70,8,Denver Broncos ,3.5,47.0 ,O,http://www.pro-football-reference.com/boxscores/201412220cin.htm
16,Sun,2014-12-21,9,14,42,7,AT&T Stadium,4:26pm,2:49,91899,null,null,0,Dallas Cowboys ,3.0,54.0 ,U,http://www.pro-football-reference.com/boxscores/201412210dal.htm
16,Sun,2014-12-21,11,6,20,14,Soldier Field,1:03pm,3:03,61420,36,74,13,Detroit Lions ,10.0,44.5 ,U,http://www.pro-football-reference.com/boxscores/201412210chi.htm
16,Sun,2014-12-21,12,30,20,3,Raymond James Stadium,1:03pm,2:44,64247,75,65,7,Green Bay Packers ,12.0,49.0 ,U,http://www.pro-football-reference.com/boxscores/201412210tam.htm
16,Sun,2014-12-21,13,3,25,13,NRG Stadium,1:02pm,3:30,71771,null,null,0,Baltimore Ravens ,6.5,42.0 ,U,http://www.pro-football-reference.com/boxscores/201412210htx.htm
16,Thu,2014-12-18,15,31,21,13,EverBank Field,8:26pm,2:49,61202,58,0,2,Jacksonville Jaguars ,4.5,39.0 ,U,http://www.pro-football-reference.com/boxscores/201412180jax.htm
16,Sun,2014-12-21,18,19,37,35,Sun Life Stadium,1:03pm,3:28,66203,80,58,9,Miami Dolphins ,4.5,42.5 ,O,http://www.pro-football-reference.com/boxscores/201412210mia.htm
16,Sun,2014-12-21,20,23,17,16,MetLife Stadium,1:02pm,2:51,78160,34,75,9,New England Patriots ,10.0,47.0 ,U,http://www.pro-football-reference.com/boxscores/201412210nyj.htm
16,Sun,2014-12-21,22,17,37,27,Edward Jones Dome,4:05pm,3:19,55851,null,null,0,St. Louis Rams ,6.5,43.5 ,O,http://www.pro-football-reference.com/boxscores/201412210ram.htm
16,Sun,2014-12-21,24,4,26,24,O.co Coliseum,4:25pm,3:19,53436,64,84,10,Buffalo Bills ,6.5,42.0 ,O,http://www.pro-football-reference.com/boxscores/201412210rai.htm
16,Sun,2014-12-21,26,16,20,12,Heinz Field,1:02pm,3:01,60865,36,50,1,Pittsburgh Steelers ,2.5,49.5 ,U,http://www.pro-football-reference.com/boxscores/201412210pit.htm
16,Sat,2014-12-20,27,28,38,35,Levi's Stadium,8:26pm,3:51,70699,61,75,5,San Francisco 49ers ,1.5,40.5 ,O,http://www.pro-football-reference.com/boxscores/201412200sfo.htm
16,Sun,2014-12-21,29,1,35,6,University of Phoenix Stadium,8:30pm,3:14,63806,null,null,0,Seattle Seahawks ,9.0,36.0 ,O,http://www.pro-football-reference.com/boxscores/201412210crd.htm
16,Sat,2014-12-20,32,25,27,24,FedExField,4:30pm,3:06,78897,37,56,0,Philadelphia Eagles ,7.0,51.0 ,P,http://www.pro-football-reference.com/boxscores/201412200was.htm
17,Sun,2014-12-28,3,8,20,10,M&T Bank Stadium,1:02pm,3:05,71070,54,0,5,Baltimore Ravens ,13.5,39.5 ,U,http://www.pro-football-reference.com/boxscores/201412280rav.htm
17,Sun,2014-12-28,4,20,17,9,Gillette Stadium,1:02pm,2:43,68756,49,74,9,New England Patriots ,6.5,44.0 ,U,http://www.pro-football-reference.com/boxscores/201412280nwe.htm
17,Sun,2014-12-28,5,2,34,3,Georgia Dome,4:25pm,2:51,71015,null,null,0,Atlanta Falcons ,3.0,48.0 ,U,http://www.pro-football-reference.com/boxscores/201412280atl.htm
17,Sun,2014-12-28,9,32,44,17,FedExField,1:05pm,3:12,80897,58,54,0,Dallas Cowboys ,6.0,47.5 ,O,http://www.pro-football-reference.com/boxscores/201412280was.htm
17,Sun,2014-12-28,10,24,47,14,Sports Authority Field at Mile High,4:25pm,3:18,76929,40,28,7,Denver Broncos ,14.0,48.0 ,O,http://www.pro-football-reference.com/boxscores/201412280den.htm
17,Sun,2014-12-28,12,11,30,20,Lambeau Field,4:25pm,3:16,78408,27,69,5,Green Bay Packers ,7.0,46.5 ,O,http://www.pro-football-reference.com/boxscores/201412280gnb.htm
17,Sun,2014-12-28,13,15,23,17,NRG Stadium,1:03pm,3:07,71777,null,null,0,Houston Texans ,7.5,38.0 ,O,http://www.pro-football-reference.com/boxscores/201412280htx.htm
17,Sun,2014-12-28,14,31,27,10,LP Field,1:02pm,2:58,69143,40,99,6,Indianapolis Colts ,7.5,46.5 ,U,http://www.pro-football-reference.com/boxscores/201412280oti.htm
17,Sun,2014-12-28,16,27,19,7,Arrowhead Stadium,1:03pm,3:04,73952,31,63,7,Kansas City Chiefs ,2.5,42.5 ,U,http://www.pro-football-reference.com/boxscores/201412280kan.htm
17,Sun,2014-12-28,19,6,13,9,TCF Bank Stadium,1:02pm,2:53,52364,15,77,0,Minnesota Vikings ,7.0,46.5 ,U,http://www.pro-football-reference.com/boxscores/201412280min.htm
17,Sun,2014-12-28,21,30,23,20,Raymond James Stadium,1:03pm,2:55,59952,79,74,6,New Orleans Saints ,5.5,46.5 ,U,http://www.pro-football-reference.com/boxscores/201412280tam.htm
17,Sun,2014-12-28,23,18,37,24,Sun Life Stadium,1:02pm,3:09,70220,80,68,12,Miami Dolphins ,6.5,41.0 ,O,http://www.pro-football-reference.com/boxscores/201412280mia.htm
17,Sun,2014-12-28,25,22,34,26,MetLife Stadium,1:02pm,3:14,79150,48,82,8,null,0,52.0 ,O,http://www.pro-football-reference.com/boxscores/201412280nyg.htm
17,Sun,2014-12-28,26,7,27,17,Heinz Field,8:30pm,3:00,64697,37,68,5,Pittsburgh Steelers ,3.5,48.0 ,U,http://www.pro-football-reference.com/boxscores/201412280pit.htm
17,Sun,2014-12-28,28,1,20,17,Levi's Stadium,4:25pm,3:03,70699,51,60,3,San Francisco 49ers ,6.5,37.5 ,U,http://www.pro-football-reference.com/boxscores/201412280sfo.htm
17,Sun,2014-12-28,29,17,20,6,CenturyLink Field,4:27pm,2:57,68453,43,81,5,Seattle Seahawks ,11.0,41.5 ,U,http://www.pro-football-reference.com/boxscores/201412280sea.htm
2,Sun,2014-09-14,1,22,25,14,MetLife Stadium,1:04pm,3:00,78344,66,48,1,Arizona Cardinals ,2.0,42.5 ,U,http://www.pro-football-reference.com/boxscores/201409140nyg.htm
