Player,Tm,Int,Yds,TD,Lng,Sk,Tkl,Ast,FR,Yds,TD,FF,
Bene Benwikere,CAR,1,1,0,1,0.0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tre Boston,CAR,0,0,0,0,1.0,4,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
James Bradberry,CAR,0,0,0,0,0.0,5,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Vernon Butler,CAR,0,0,0,0,1.0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kurt Coleman,CAR,0,0,0,0,0.0,2,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Thomas Davis,CAR,1,4,0,4,0.0,4,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Delaire,CAR,0,0,0,0,0.0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Charles Johnson,CAR,0,0,0,0,0.0,2,0,0,0,0,1,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
A.J. Klein,CAR,0,0,0,0,0.0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Luke Kuechly,CAR,0,0,0,0,0.0,10,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Robert McClain,CAR,0,0,0,0,0.0,4,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kawann Short,CAR,0,0,0,0,0.0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Shaq Thompson,CAR,0,0,0,0,0.0,3,0,1,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Shaquil Barrett,DEN,0,0,0,0,0.0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jared Crick,DEN,0,0,0,0,0.0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Todd Davis,DEN,0,0,0,0,0.5,6,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Harris,DEN,1,0,0,0,0.0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Darius Kilgo,DEN,0,0,0,0,0.0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon Marshall,DEN,0,0,0,0,0.0,6,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Von Miller,DEN,0,0,0,0,1.0,3,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Corey Nelson,DEN,0,0,0,0,0.0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Shane Ray,DEN,0,0,0,0,0.0,1,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bradley Roby,DEN,0,0,0,0,0.0,5,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Justin Simmons,DEN,0,0,0,0,0.0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Darian Stewart,DEN,0,0,0,0,0.0,5,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Aqib Talib,DEN,0,0,0,0,0.0,0,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
T.J. Ward,DEN,0,0,0,0,0.0,5,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
DeMarcus Ware,DEN,0,0,0,0,1.5,2,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kayvon Webster,DEN,0,0,0,0,0.0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sylvester Williams,DEN,0,0,0,0,0.0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Derek Wolfe,DEN,0,0,0,0,0.0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Morgan Burnett,GNB,0,0,0,0,1.0,8,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kenny Clark,GNB,0,0,0,0,0.0,0,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ha Ha Clinton-Dix,GNB,0,0,0,0,0.0,5,0,0,0,0,1,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mike Daniels,GNB,0,0,0,0,0.0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Letroy Guion,GNB,0,0,0,0,0.0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ladarius Gunter,GNB,0,0,0,0,0.0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Micah Hyde,GNB,0,0,0,0,0.0,1,0,1,0,0,0,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dean Lowry,GNB,0,0,0,0,0.0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
