Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,
Drew Kaser,SDG,,,,,5,178,35.6,48,http://www.pro-football-reference.com/boxscores/201609110kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cairo Santos,KAN,3,3,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dustin Colquitt,KAN,,,,,5,197,39.4,50,http://www.pro-football-reference.com/boxscores/201609110kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andrew Franks,MIA,1,1,1,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Darr,MIA,,,,,7,327,46.7,57,http://www.pro-football-reference.com/boxscores/201609110sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Steven Hauschka,SEA,,1,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jon Ryan,SEA,,,,,6,253,42.2,50,http://www.pro-football-reference.com/boxscores/201609110sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Randy Bullock,NYG,2,3,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brad Wing,NYG,,,,,5,257,51.4,60,http://www.pro-football-reference.com/boxscores/201609110dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dan Bailey,DAL,1,1,4,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Jones,DAL,,,,,3,147,49.0,56,http://www.pro-football-reference.com/boxscores/201609110dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Prater,DET,4,5,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sam Martin,DET,,,,,4,235,58.8,63,http://www.pro-football-reference.com/boxscores/201609110clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Vinatieri,IND,3,3,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pat McAfee,IND,,,,,4,195,48.8,52,http://www.pro-football-reference.com/boxscores/201609110clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Stephen Gostkowski,NWE,2,2,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Allen,NWE,,,,,2,89,44.5,45,http://www.pro-football-reference.com/boxscores/201609110crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chandler Catanzaro,ARI,3,3,,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Drew Butler,ARI,,,,,5,180,36.0,41,http://www.pro-football-reference.com/boxscores/201609110crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Boswell,PIT,5,5,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609120was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Berry,PIT,,,,,2,107,53.5,61,http://www.pro-football-reference.com/boxscores/201609120was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dustin Hopkins,WAS,1,1,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201609120was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tress Way,WAS,,,,,1,27,27.0,27,http://www.pro-football-reference.com/boxscores/201609120was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Johnny Hekker,LAR,,,,,10,431,43.1,54,http://www.pro-football-reference.com/boxscores/201609120sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Phil Dawson,SFO,4,4,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201609120sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bradley Pinion,SFO,,,,,7,319,45.6,52,http://www.pro-football-reference.com/boxscores/201609120sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Folk,NYJ,4,4,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201609150buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lac Edwards,NYJ,,,,,2,82,41.0,47,http://www.pro-football-reference.com/boxscores/201609150buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dan Carpenter,BUF,4,4,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609150buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Colton Schmidt,BUF,,,,,3,118,39.3,45,http://www.pro-football-reference.com/boxscores/201609150buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
