Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,
Josh Brown,NYG,3,3,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brad Wing,NYG,,,,,3,142,47.3,56,http://www.pro-football-reference.com/boxscores/201609250nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Phil Dawson,SFO,1,1,1,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bradley Pinion,SFO,,,,,7,319,45.6,61,http://www.pro-football-reference.com/boxscores/201609250sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Steven Hauschka,SEA,4,4,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jon Ryan,SEA,,,,,2,102,51.0,57,http://www.pro-football-reference.com/boxscores/201609250sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Greg Zuerlein,LAR,4,4,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Johnny Hekker,LAR,,,,,5,256,51.2,64,http://www.pro-football-reference.com/boxscores/201609250tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Roberto Aguayo,TAM,2,3,,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bryan Anger,TAM,,,,,4,191,47.8,55,http://www.pro-football-reference.com/boxscores/201609250tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Berry,PIT,,,,,3,165,55.0,63,http://www.pro-football-reference.com/boxscores/201609250phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Boswell,PIT,,,1,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Caleb Sturgis,PHI,4,4,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Donnie Jones,PHI,,,,,4,165,41.3,47,http://www.pro-football-reference.com/boxscores/201609250phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Lambo,SDG,1,2,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Drew Kaser,SDG,,,,,3,121,40.3,46,http://www.pro-football-reference.com/boxscores/201609250clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Vinatieri,IND,2,2,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pat McAfee,IND,,,,,3,121,40.3,50,http://www.pro-football-reference.com/boxscores/201609250clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lac Edwards,NYJ,,,,,2,86,43.0,51,http://www.pro-football-reference.com/boxscores/201609250kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Folk,NYJ,,,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cairo Santos,KAN,3,3,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dustin Colquitt,KAN,,,,,4,172,43.0,48,http://www.pro-football-reference.com/boxscores/201609250kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Connor Barth,CHI,2,2,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pat O'Donnell,CHI,,,,,4,159,39.8,49,http://www.pro-football-reference.com/boxscores/201609250dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dan Bailey,DAL,4,4,1,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609250dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Jones,DAL,,,,,3,140,46.7,51,http://www.pro-football-reference.com/boxscores/201609250dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Bryant,ATL,6,6,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609260nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matthew Bosher,ATL,,,,,2,90,45.0,47,http://www.pro-football-reference.com/boxscores/201609260nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Wil Lutz,NOR,3,3,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609260nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Thomas Morstead,NOR,,,,,2,83,41.5,49,http://www.pro-football-reference.com/boxscores/201609260nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andrew Franks,MIA,1,1,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201609290cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Darr,MIA,,,,,7,344,49.1,66,http://www.pro-football-reference.com/boxscores/201609290cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mike Nugent,CIN,1,1,5,5,0,0,,0,http://www.pro-football-reference.com/boxscores/201609290cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kevin Huber,CIN,,,,,4,184,46.0,50,http://www.pro-football-reference.com/boxscores/201609290cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Vinatieri,IND,3,3,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pat McAfee,IND,,,,,3,149,49.7,54,http://www.pro-football-reference.com/boxscores/201610020jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jason Myers,JAX,3,3,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brad Nortman,JAX,,,,,5,269,53.8,78,http://www.pro-football-reference.com/boxscores/201610020jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sam Martin,DET,,,,,5,245,49.0,57,http://www.pro-football-reference.com/boxscores/201610020chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Prater,DET,,,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Connor Barth,CHI,2,2,1,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pat O'Donnell,CHI,,,,,4,196,49.0,51,http://www.pro-football-reference.com/boxscores/201610020chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sebastian Janikowski,OAK,4,4,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marquette King,OAK,,,,,8,414,51.8,62,http://www.pro-football-reference.com/boxscores/201610020rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Justin Tucker,BAL,1,1,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sam Koch,BAL,,,,,7,342,48.9,59,http://www.pro-football-reference.com/boxscores/201610020rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dan Carpenter,BUF,1,1,3,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Colton Schmidt,BUF,,,,,4,163,40.8,48,http://www.pro-football-reference.com/boxscores/201610020nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Allen,NWE,,,,,6,311,51.8,58,http://www.pro-football-reference.com/boxscores/201610020nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Stephen Gostkowski,NWE,,,,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Succop,TEN,2,2,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brett Kern,TEN,,,,,5,257,51.4,71,http://www.pro-football-reference.com/boxscores/201610020htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Novak,HOU,3,3,2,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Shane Lechler,HOU,,,,,3,150,50.0,58,http://www.pro-football-reference.com/boxscores/201610020htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Steven Hauschka,SEA,3,3,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jon Ryan,SEA,,,,,5,203,40.6,56,http://www.pro-football-reference.com/boxscores/201610020nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Folk,NYJ,2,2,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lac Edwards,NYJ,,,,,5,202,40.4,52,http://www.pro-football-reference.com/boxscores/201610020nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Graham Gano,CAR,2,2,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andy Lee,CAR,,,,,6,304,50.7,56,http://www.pro-football-reference.com/boxscores/201610020atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Bryant,ATL,6,6,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matthew Bosher,ATL,,,,,3,158,52.7,59,http://www.pro-football-reference.com/boxscores/201610020atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cody Parkey,CLE,2,2,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Britton Colquitt,CLE,,,,,1,55,55.0,55,http://www.pro-football-reference.com/boxscores/201610020was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dustin Hopkins,WAS,4,4,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tress Way,WAS,,,,,3,146,48.7,59,http://www.pro-football-reference.com/boxscores/201610020was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Greg Zuerlein,LAR,2,2,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Johnny Hekker,LAR,,,,,6,277,46.2,55,http://www.pro-football-reference.com/boxscores/201610020crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chandler Catanzaro,ARI,1,1,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Quigley,ARI,,,,,4,169,42.3,51,http://www.pro-football-reference.com/boxscores/201610020crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon McManus,DEN,3,3,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Riley Dixon,DEN,,,,,7,330,47.1,57,http://www.pro-football-reference.com/boxscores/201610020tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Roberto Aguayo,TAM,1,1,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bryan Anger,TAM,,,,,7,326,46.6,59,http://www.pro-football-reference.com/boxscores/201610020tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Wil Lutz,NOR,5,5,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Thomas Morstead,NOR,,,,,5,256,51.2,62,http://www.pro-football-reference.com/boxscores/201610020sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Lambo,SDG,4,4,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Drew Kaser,SDG,,,,,4,176,44.0,49,http://www.pro-football-reference.com/boxscores/201610020sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dan Bailey,DAL,3,3,1,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Jones,DAL,,,,,4,221,55.3,63,http://www.pro-football-reference.com/boxscores/201610020sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Phil Dawson,SFO,2,2,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bradley Pinion,SFO,,,,,4,196,49.0,65,http://www.pro-football-reference.com/boxscores/201610020sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cairo Santos,KAN,2,2,,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dustin Colquitt,KAN,,,,,6,257,42.8,58,http://www.pro-football-reference.com/boxscores/201610020pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Boswell,PIT,5,5,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201610020pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Berry,PIT,,,,,5,211,42.2,52,http://www.pro-football-reference.com/boxscores/201610020pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Brown,NYG,1,1,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610030min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brad Wing,NYG,,,,,6,280,46.7,53,http://www.pro-football-reference.com/boxscores/201610030min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Blair Walsh,MIN,3,3,1,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610030min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeff Locke,MIN,,,,,6,264,44.0,53,http://www.pro-football-reference.com/boxscores/201610030min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chandler Catanzaro,ARI,4,4,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610060sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Quigley,ARI,,,,,9,382,42.4,55,http://www.pro-football-reference.com/boxscores/201610060sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Phil Dawson,SFO,3,3,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201610060sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bradley Pinion,SFO,,,,,7,349,49.9,57,http://www.pro-football-reference.com/boxscores/201610060sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Connor Barth,CHI,2,2,3,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pat O'Donnell,CHI,,,,,2,92,46.0,46,http://www.pro-football-reference.com/boxscores/201610090clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Vinatieri,IND,2,2,5,5,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pat McAfee,IND,,,,,3,190,63.3,74,http://www.pro-football-reference.com/boxscores/201610090clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Folk,NYJ,1,1,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lac Edwards,NYJ,,,,,6,260,43.3,52,http://www.pro-football-reference.com/boxscores/201610090pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Boswell,PIT,4,4,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Berry,PIT,,,,,3,139,46.3,52,http://www.pro-football-reference.com/boxscores/201610090pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Stephen Gostkowski,NWE,4,4,1,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Allen,NWE,,,,,5,209,41.8,52,http://www.pro-football-reference.com/boxscores/201610090cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cody Parkey,CLE,1,1,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Britton Colquitt,CLE,,,,,6,267,44.5,50,http://www.pro-football-reference.com/boxscores/201610090cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Caleb Sturgis,PHI,2,2,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Donnie Jones,PHI,,,,,2,76,38.0,42,http://www.pro-football-reference.com/boxscores/201610090det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Prater,DET,3,3,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sam Martin,DET,,,,,3,159,53.0,57,http://www.pro-football-reference.com/boxscores/201610090det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Succop,TEN,3,4,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brett Kern,TEN,,,,,5,175,35.0,51,http://www.pro-football-reference.com/boxscores/201610090mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andrew Franks,MIA,2,2,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Darr,MIA,,,,,6,298,49.7,57,http://www.pro-football-reference.com/boxscores/201610090mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dustin Hopkins,WAS,1,2,1,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tress Way,WAS,,,,,6,253,42.2,61,http://www.pro-football-reference.com/boxscores/201610090rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Justin Tucker,BAL,1,1,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sam Koch,BAL,,,,,8,381,47.6,68,http://www.pro-football-reference.com/boxscores/201610090rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Novak,HOU,1,1,2,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Shane Lechler,HOU,,,,,5,257,51.4,57,http://www.pro-football-reference.com/boxscores/201610090min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Blair Walsh,MIN,4,4,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeff Locke,MIN,,,,,5,231,46.2,55,http://www.pro-football-reference.com/boxscores/201610090min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Bryant,ATL,2,2,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matthew Bosher,ATL,,,,,3,185,61.7,68,http://www.pro-football-reference.com/boxscores/201610090den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon McManus,DEN,1,1,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Riley Dixon,DEN,,,,,6,290,48.3,62,http://www.pro-football-reference.com/boxscores/201610090den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dan Carpenter,BUF,3,4,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Colton Schmidt,BUF,,,,,6,276,46.0,58,http://www.pro-football-reference.com/boxscores/201610090ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Greg Zuerlein,LAR,1,1,4,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Johnny Hekker,LAR,,,,,2,109,54.5,57,http://www.pro-football-reference.com/boxscores/201610090ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mike Nugent,CIN,2,2,,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kevin Huber,CIN,,,,,5,196,39.2,44,http://www.pro-football-reference.com/boxscores/201610090dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dan Bailey,DAL,4,4,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Jones,DAL,,,,,2,87,43.5,51,http://www.pro-football-reference.com/boxscores/201610090dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Lambo,SDG,4,4,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Drew Kaser,SDG,,,,,1,16,16.0,16,http://www.pro-football-reference.com/boxscores/201610090rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sebastian Janikowski,OAK,2,2,4,5,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marquette King,OAK,,,,,3,139,46.3,51,http://www.pro-football-reference.com/boxscores/201610090rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Brown,NYG,1,1,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brad Wing,NYG,,,,,6,235,39.2,47,http://www.pro-football-reference.com/boxscores/201610090gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mason Crosby,GNB,2,2,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201610090gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jake Schum,GNB,,,,,4,146,36.5,42,http://www.pro-football-reference.com/boxscores/201610090gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bryan Anger,TAM,,,,,5,225,45.0,51,http://www.pro-football-reference.com/boxscores/201610100car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Roberto Aguayo,TAM,,,3,5,0,0,,0,http://www.pro-football-reference.com/boxscores/201610100car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Graham Gano,CAR,2,2,,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610100car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andy Lee,CAR,,,,,4,177,44.3,52,http://www.pro-football-reference.com/boxscores/201610100car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon McManus,DEN,1,1,2,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201610130sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Riley Dixon,DEN,,,,,5,221,44.2,48,http://www.pro-football-reference.com/boxscores/201610130sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Lambo,SDG,1,1,4,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201610130sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Drew Kaser,SDG,,,,,5,237,47.4,60,http://www.pro-football-reference.com/boxscores/201610130sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cody Parkey,CLE,2,2,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610160oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Britton Colquitt,CLE,,,,,7,356,50.9,65,http://www.pro-football-reference.com/boxscores/201610160oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Succop,TEN,4,4,,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610160oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brett Kern,TEN,,,,,5,225,45.0,52,http://www.pro-football-reference.com/boxscores/201610160oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mike Nugent,CIN,2,2,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610160nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kevin Huber,CIN,,,,,4,164,41.0,52,http://www.pro-football-reference.com/boxscores/201610160nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Stephen Gostkowski,NWE,3,4,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201610160nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Allen,NWE,,,,,3,133,44.3,52,http://www.pro-football-reference.com/boxscores/201610160nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Greg Zuerlein,LAR,4,4,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201610160det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Johnny Hekker,LAR,,,,,2,94,47.0,54,http://www.pro-football-reference.com/boxscores/201610160det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Prater,DET,4,4,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610160det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sam Martin,DET,,,,,2,104,52.0,56,http://www.pro-football-reference.com/boxscores/201610160det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Phil Dawson,SFO,1,1,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201610160buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bradley Pinion,SFO,,,,,5,209,41.8,57,http://www.pro-football-reference.com/boxscores/201610160buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dan Carpenter,BUF,6,6,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201610160buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
