Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,
Antonio Andrews,TEN,1,15,15.0,0,15,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andre Roberts,DET,1,10,10.0,0,10,2,23,11.5,0,13,http://www.pro-football-reference.com/boxscores/201609180det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dwayne Washington,DET,1,25,25.0,0,25,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Devin Hester,BAL,2,80,40.0,0,48,2,22,11.0,0,15,http://www.pro-football-reference.com/boxscores/201609180cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Joe Haden,CLE,0,0,,0,0,1,13,13.0,0,13,http://www.pro-football-reference.com/boxscores/201609180cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tramon Williams,CLE,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201609180cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Duke Johnson,CLE,1,19,19.0,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
George Atkinson,CLE,1,13,13.0,0,13,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyreek Hill,KAN,3,83,27.7,0,30,4,63,15.8,0,32,http://www.pro-football-reference.com/boxscores/201609180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Knile Davis,KAN,3,75,25.0,0,29,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyler Ervin,HOU,2,39,19.5,0,20,4,12,3.0,0,6,http://www.pro-football-reference.com/boxscores/201609180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kenyan Drake,MIA,1,15,15.0,0,15,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Danny Amendola,NWE,0,0,,0,0,3,33,11.0,0,19,http://www.pro-football-reference.com/boxscores/201609180nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Slater,NWE,1,18,18.0,0,18,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Jones,CIN,0,0,,0,0,2,19,9.5,0,12,http://www.pro-football-reference.com/boxscores/201609180pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Alex Erickson,CIN,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201609180pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eli Rogers,PIT,0,0,,0,0,3,27,9.0,0,15,http://www.pro-football-reference.com/boxscores/201609180pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Antonio Brown,PIT,0,0,,0,0,2,18,9.0,0,14,http://www.pro-football-reference.com/boxscores/201609180pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Fitzgerald Toussaint,PIT,1,22,22.0,0,22,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lucky Whitehead,DAL,1,33,33.0,0,33,1,7,7.0,0,7,http://www.pro-football-reference.com/boxscores/201609180was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Rod Smith,DAL,1,19,19.0,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jamison Crowder,WAS,0,0,,0,0,2,30,15.0,0,21,http://www.pro-football-reference.com/boxscores/201609180was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Niles Paul,WAS,1,14,14.0,0,14,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Thompson,WAS,1,28,28.0,0,28,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tommylee Lewis,NOR,0,0,,0,0,2,27,13.5,0,21,http://www.pro-football-reference.com/boxscores/201609180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Travaris Cadet,NOR,2,24,12.0,0,13,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dwayne Harris,NYG,0,0,,0,0,1,9,9.0,0,9,http://www.pro-football-reference.com/boxscores/201609180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mark Herzlich,NYG,1,2,2.0,0,2,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Davis,SFO,2,49,24.5,0,25,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Quinton Patton,SFO,1,11,11.0,0,11,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mike Davis,SFO,1,6,6.0,0,6,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ted Ginn,CAR,6,130,21.7,0,59,3,28,9.3,0,16,http://www.pro-football-reference.com/boxscores/201609180car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Humphries,TAM,0,0,,0,0,5,43,8.6,0,25,http://www.pro-football-reference.com/boxscores/201609180crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cecil Shorts,TAM,1,19,19.0,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
John Brown,ARI,0,0,,0,0,1,7,7.0,0,7,http://www.pro-football-reference.com/boxscores/201609180crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Paul Richardson,SEA,1,20,20.0,0,20,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tavon Austin,LAR,0,0,,0,0,3,15,5.0,0,15,http://www.pro-football-reference.com/boxscores/201609180ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Quan Bray,IND,2,47,23.5,0,27,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Norwood,DEN,0,0,,0,0,2,26,13.0,0,14,http://www.pro-football-reference.com/boxscores/201609180den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eric Weems,ATL,0,0,,0,0,2,73,36.5,0,73,http://www.pro-football-reference.com/boxscores/201609180rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Aldrick Robinson,ATL,1,11,11.0,0,11,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jalen Richard,OAK,1,24,24.0,0,24,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201609180rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Taiwan Jones,OAK,2,21,10.5,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Rashad Greene,JAX,0,0,,0,0,2,9,4.5,0,8,http://www.pro-football-reference.com/boxscores/201609180sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Corey Grant,JAX,3,67,22.3,0,24,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Travis Benjamin,SDG,0,0,,0,0,2,21,10.5,0,12,http://www.pro-football-reference.com/boxscores/201609180sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Damarious Randall,GNB,0,0,,0,0,1,2,2.0,0,2,http://www.pro-football-reference.com/boxscores/201609180min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ty Montgomery,GNB,1,21,21.0,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cordarrelle Patterson,MIN,2,62,31.0,0,37,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609180min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Huff,PHI,1,27,27.0,0,27,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609190chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Wendell Smallwood,PHI,1,30,30.0,0,30,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609190chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eddie Royal,CHI,0,0,,0,0,1,65,65.0,1,65,http://www.pro-football-reference.com/boxscores/201609190chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Deonte Thompson,CHI,2,42,21.0,0,23,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609190chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ka'Deem Carey,CHI,1,16,16.0,0,16,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609190chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bryce Callahan,CHI,1,17,17.0,0,17,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609190chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Bellamy,CHI,1,15,15.0,0,15,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609190chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyler Ervin,HOU,2,33,16.5,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609220nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Charles James,HOU,1,18,18.0,0,18,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609220nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cyrus Jones,NWE,1,24,24.0,0,24,2,23,11.5,0,13,http://www.pro-football-reference.com/boxscores/201609220nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Danny Amendola,NWE,0,0,,0,0,1,10,10.0,0,10,http://www.pro-football-reference.com/boxscores/201609220nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andre Roberts,DET,3,68,22.7,0,25,2,16,8.0,0,15,http://www.pro-football-reference.com/boxscores/201609250gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dwayne Washington,DET,1,21,21.0,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Trevor Davis,GNB,0,0,,0,0,1,1,1.0,0,1,http://www.pro-football-reference.com/boxscores/201609250gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ty Montgomery,GNB,1,24,24.0,0,24,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Poyer,CLE,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201609250mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tracy Howard,CLE,2,30,15.0,0,17,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
George Atkinson,CLE,1,21,21.0,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jarvis Landry,MIA,0,0,,0,0,1,13,13.0,0,13,http://www.pro-football-reference.com/boxscores/201609250mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jakeem Grant,MIA,1,27,27.0,0,27,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Norwood,DEN,0,0,,0,0,1,11,11.0,0,11,http://www.pro-football-reference.com/boxscores/201609250cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cody Latimer,DEN,3,83,27.7,0,46,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Jones,CIN,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201609250cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Alex Erickson,CIN,0,0,,0,0,1,4,4.0,0,4,http://www.pro-football-reference.com/boxscores/201609250cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Rex Burkhead,CIN,2,40,20.0,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
John Brown,ARI,1,51,51.0,0,51,1,12,12.0,0,12,http://www.pro-football-reference.com/boxscores/201609250buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andre Ellington,ARI,2,35,17.5,0,20,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon Tate,BUF,1,20,20.0,0,20,2,39,19.5,0,31,http://www.pro-football-reference.com/boxscores/201609250buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jerome Felton,BUF,2,18,9.0,0,11,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Devin Hester,BAL,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201609250jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Rashad Greene,JAX,0,0,,0,0,5,51,10.2,0,42,http://www.pro-football-reference.com/boxscores/201609250jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Corey Grant,JAX,3,58,19.3,0,25,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Arrelious Benn,JAX,1,0,0.0,0,0,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marcus Sherels,MIN,1,18,18.0,0,18,2,58,29.0,1,54,http://www.pro-football-reference.com/boxscores/201609250car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cordarrelle Patterson,MIN,2,40,20.0,0,25,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ted Ginn,CAR,2,44,22.0,0,26,2,0,0.0,0,1,http://www.pro-football-reference.com/boxscores/201609250car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jalen Richard,OAK,0,0,,0,0,3,38,12.7,0,14,http://www.pro-football-reference.com/boxscores/201609250oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Taiwan Jones,OAK,1,16,16.0,0,16,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marc Mariani,TEN,0,0,,0,0,1,10,10.0,0,10,http://www.pro-football-reference.com/boxscores/201609250oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jamison Crowder,WAS,0,0,,0,0,2,58,29.0,0,50,http://www.pro-football-reference.com/boxscores/201609250nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Quinton Dunbar,WAS,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201609250nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Thompson,WAS,1,25,25.0,0,25,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dwayne Harris,NYG,1,15,15.0,0,15,1,14,14.0,0,14,http://www.pro-football-reference.com/boxscores/201609250nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeremy Kerley,SFO,0,0,,0,0,1,20,20.0,0,20,http://www.pro-football-reference.com/boxscores/201609250sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Davis,SFO,1,26,26.0,0,26,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyler Lockett,SEA,0,0,,0,0,3,70,23.3,0,62,http://www.pro-football-reference.com/boxscores/201609250sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Luke Willson,SEA,1,0,0.0,0,0,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Paul Richardson,SEA,1,19,19.0,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tavon Austin,LAR,1,5,5.0,0,5,2,12,6.0,0,8,http://www.pro-football-reference.com/boxscores/201609250tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
