Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,
Ted Ginn,CAR,1,9,9.0,0,9,2,12,6.0,0,8,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Norwood,DEN,0,0,,0,0,2,26,13.0,0,15,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ty Montgomery,GNB,1,14,14.0,0,14,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Rashad Greene,JAX,0,0,,0,0,1,14,14.0,0,14,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Corey Grant,JAX,2,51,25.5,0,32,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon Tate,BUF,0,0,,0,0,1,21,21.0,0,21,http://www.pro-football-reference.com/boxscores/201609110rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick O'Leary,BUF,1,13,13.0,0,13,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609110rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Devin Hester,BAL,2,37,18.5,0,23,2,1,0.5,0,8,http://www.pro-football-reference.com/boxscores/201609110rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eddie Royal,CHI,0,0,,0,0,4,40,10.0,0,31,http://www.pro-football-reference.com/boxscores/201609110htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Deonte Thompson,CHI,5,103,20.6,0,26,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609110htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyler Ervin,HOU,3,73,24.3,0,28,3,29,9.7,0,13,http://www.pro-football-reference.com/boxscores/201609110htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Jones,CIN,2,35,17.5,0,19,1,6,6.0,0,6,http://www.pro-football-reference.com/boxscores/201609110nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Alex Erickson,CIN,1,15,15.0,0,15,1,15,15.0,0,15,http://www.pro-football-reference.com/boxscores/201609110nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jalin Marshall,NYJ,3,110,36.7,0,65,2,11,5.5,0,8,http://www.pro-football-reference.com/boxscores/201609110nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Darren Sproles,PHI,1,19,19.0,0,19,4,59,14.8,0,40,http://www.pro-football-reference.com/boxscores/201609110phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Wendell Smallwood,PHI,1,23,23.0,0,23,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609110phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marcus Sherels,MIN,0,0,,0,0,3,10,3.3,0,12,http://www.pro-football-reference.com/boxscores/201609110oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cordarrelle Patterson,MIN,1,61,61.0,0,61,0,9,,0,9,http://www.pro-football-reference.com/boxscores/201609110oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marc Mariani,TEN,5,118,23.6,0,31,1,14,14.0,0,14,http://www.pro-football-reference.com/boxscores/201609110oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jalen Richard,OAK,0,0,,0,0,1,6,6.0,0,6,http://www.pro-football-reference.com/boxscores/201609110nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
TJ Carrie,OAK,0,0,,0,0,1,10,10.0,0,10,http://www.pro-football-reference.com/boxscores/201609110nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Taiwan Jones,OAK,3,49,16.3,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609110nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marcus Murphy,NOR,5,86,17.2,0,26,2,11,5.5,0,6,http://www.pro-football-reference.com/boxscores/201609110nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Humphries,TAM,1,12,12.0,0,12,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609110atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eric Weems,ATL,3,85,28.3,0,34,2,22,11.0,0,13,http://www.pro-football-reference.com/boxscores/201609110atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Travis Benjamin,SDG,0,0,,0,0,2,8,4.0,0,7,http://www.pro-football-reference.com/boxscores/201609110kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Craig Mager,SDG,2,43,21.5,0,23,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609110kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyreek Hill,KAN,0,0,,0,0,3,35,11.7,0,14,http://www.pro-football-reference.com/boxscores/201609110kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
D.J. Alexander,KAN,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201609110kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jakeem Grant,MIA,2,67,33.5,0,45,3,16,5.3,0,7,http://www.pro-football-reference.com/boxscores/201609110sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jarvis Landry,MIA,0,0,,0,0,1,16,16.0,0,16,http://www.pro-football-reference.com/boxscores/201609110sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Damien Williams,MIA,1,17,17.0,0,17,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609110sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyler Lockett,SEA,0,0,,0,0,3,40,13.3,0,22,http://www.pro-football-reference.com/boxscores/201609110sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dwayne Harris,NYG,2,46,23.0,0,29,1,17,17.0,0,17,http://www.pro-football-reference.com/boxscores/201609110dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lucky Whitehead,DAL,1,21,21.0,0,21,2,16,8.0,0,9,http://www.pro-football-reference.com/boxscores/201609110dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andre Roberts,DET,1,22,22.0,0,22,1,-1,-1.0,0,-1,http://www.pro-football-reference.com/boxscores/201609110clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Quan Bray,IND,1,25,25.0,0,25,2,13,6.5,0,9,http://www.pro-football-reference.com/boxscores/201609110clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
T.Y. Hilton,IND,1,0,0.0,0,0,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609110clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cyrus Jones,NWE,1,26,26.0,0,26,1,10,10.0,0,10,http://www.pro-football-reference.com/boxscores/201609110crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Danny Amendola,NWE,0,0,,0,0,1,8,8.0,0,8,http://www.pro-football-reference.com/boxscores/201609110crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Patrick Peterson,ARI,0,0,,0,0,1,8,8.0,0,8,http://www.pro-football-reference.com/boxscores/201609110crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andre Ellington,ARI,4,61,15.3,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609110crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Fitzgerald Toussaint,PIT,1,18,18.0,0,18,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609120was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jamison Crowder,WAS,0,0,,0,0,1,17,17.0,0,17,http://www.pro-football-reference.com/boxscores/201609120was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Will Blackmon,WAS,1,29,29.0,0,29,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609120was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tavon Austin,LAR,0,0,,0,0,4,38,9.5,0,28,http://www.pro-football-reference.com/boxscores/201609120sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Benny Cunningham,LAR,2,59,29.5,0,32,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609120sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeremy Kerley,SFO,0,0,,0,0,2,11,5.5,0,7,http://www.pro-football-reference.com/boxscores/201609120sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jalin Marshall,NYJ,3,39,13.0,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609150buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Julian Howsare,NYJ,1,15,15.0,0,15,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609150buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon Tate,BUF,5,125,25.0,0,45,1,8,8.0,0,8,http://www.pro-football-reference.com/boxscores/201609150buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marc Mariani,TEN,1,19,19.0,0,19,2,9,4.5,0,7,http://www.pro-football-reference.com/boxscores/201609180det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
