"","Name","Tm","Week","RushAtt","RushYds","RushTD","Target","Rec","RecYds","RecTD","FPts","FPts_G","Year"
"2","DeMarco Murray","TEN",4,25,95,2,2,2,24,0,23.9,23.9,2016
"3","Ezekiel Elliott","DAL",4,23,138,1,1,1,19,0,21.7,21.7,2016
"4","Melvin Gordon","SD",4,19,36,2,7,6,43,0,19.9,19.9,2016
"5","Matt Jones","WAS",4,22,117,1,2,2,21,0,19.8,19.8,2016
"6","Isaiah Crowell","CLE",4,15,112,1,4,3,22,0,19.4,19.4,2016
"7","John Kuhn","NO",4,3,5,2,2,2,7,1,19.2,19.2,2016
"8","LeVeon Bell","PIT",4,18,144,0,6,5,34,0,17.8,17.8,2016
"9","Terrance West","BAL",4,21,113,1,0,0,0,0,17.3,17.3,2016
"10","LeSean McCoy","BUF",4,19,70,0,6,6,38,1,16.8,16.8,2016
"11","Mark Ingram","NO",4,18,57,1,7,6,49,0,16.6,16.6,2016
"12","Frank Gore","IND",4,16,68,1,6,5,27,0,15.5,15.5,2016
"13","Jerick McKinnon","MIN",4,18,85,1,5,3,10,0,15.5,15.5,2016
"14","Christine Michael","SEA",4,18,58,0,6,5,32,1,15,15,2016
"15","Carlos Hyde","SF",4,15,74,1,1,1,5,0,13.9,13.9,2016
"16","Jordan Howard","CHI",4,23,111,0,4,3,21,0,13.2,13.2,2016
"17","Devonta Freeman","ATL",4,13,57,1,3,2,7,0,12.4,12.4,2016
"18","David Johnson","ARI",4,17,83,0,4,4,41,0,12.4,12.4,2016
"19","TJ Yeldon","JAC",4,14,71,0,5,4,46,0,11.7,11.7,2016
"20","CJ Anderson","DEN",4,19,49,1,1,1,3,0,11.2,11.2,2016
"21","Orleans Darkwa","NYG",4,12,48,1,2,0,0,0,10.8,10.8,2016
"22","Lamar Miller","HOU",4,19,82,0,3,3,26,0,10.8,10.8,2016
"23","Chris Thompson","WAS",4,3,24,0,4,2,16,1,10,10,2016
"24","Spencer Ware","KC",4,13,82,0,5,1,14,0,9.6,9.6,2016
"25","Fozzy Whittaker","CAR",4,3,6,0,9,9,86,0,9.2,9.2,2016
