"","Name","Tm","Week","RushAtt","RushYds","RushTD","Target","Rec","RecYds","RecTD","FPts","FPts_G","Year"
"40","Devontae Booker","DEN",2,9,46,0,1,1,5,0,5.1,5.1,2016
"41","Eddie Lacy","GB",2,12,50,0,1,0,0,0,5,5,2016
"42","Derrick Henry","TEN",2,9,40,0,1,1,9,0,4.9,4.9,2016
"43","Darren Sproles","PHI",2,12,40,0,2,2,8,0,4.8,4.8,2016
"44","Mark Ingram","NO",2,9,30,0,4,4,17,0,4.7,4.7,2016
"45","Justin Forsett","BAL",2,14,37,0,5,3,9,0,4.6,4.6,2016
"46","Jay Ajayi","MIA",2,5,14,0,4,4,31,0,4.5,4.5,2016
"47","Rashad Jennings","NYG",2,13,27,0,2,2,13,0,4,4,2016
"48","Jamize Olawale","OAK",2,1,11,0,2,2,28,0,3.9,3.9,2016
"49","Ameer Abdullah","DET",2,6,38,0,0,0,0,0,3.8,3.8,2016
"50","TJ Yeldon","JAC",2,7,28,0,9,8,10,0,3.8,3.8,2016
"51","Josh Ferguson","IND",2,2,7,0,5,5,29,0,3.6,3.6,2016
"210","Lance Dunbar","DAL",2,3,6,0,2,2,26,0,3.2,3.2,2016
"310","Jordan Howard","CHI",2,3,22,0,2,2,9,0,3.1,3.1,2016
"410","Dwayne Washington","DET",2,4,31,0,0,0,0,0,3.1,3.1,2016
"52","Danny Woodhead","SD",2,3,27,0,1,1,4,0,3.1,3.1,2016
"61","Jacquizz Rodgers","TB",2,2,29,0,1,0,0,0,2.9,2.9,2016
"71","James White","NE",2,4,19,0,4,2,10,0,2.9,2.9,2016
"81","Charles Sims","TB",2,9,24,0,5,3,4,0,2.8,2.8,2016
"91","Jalen Richard","OAK",2,7,17,0,1,1,10,0,2.7,2.7,2016
"101","Adrian Peterson","MIN",2,12,19,0,3,2,7,0,2.6,2.6,2016
"111","Matt Asiata","MIN",2,6,14,0,1,1,11,0,2.5,2.5,2016
"121","Mike Tolbert","CAR",2,9,25,0,1,0,0,0,2.5,2.5,2016
"131","Doug Martin","TB",2,7,23,0,0,0,0,0,2.3,2.3,2016
"141","Shaun Draughn","SF",2,9,21,0,1,0,0,0,2.1,2.1,2016
"151","Jonathan Grimes","HOU",2,1,8,0,3,1,13,0,2.1,2.1,2016
"161","James Starks","GB",2,7,3,0,1,1,16,0,1.9,1.9,2016
"171","Travaris Cadet","NO",2,0,0,0,3,2,17,0,1.7,1.7,2016
"181","Wendell Smallwood","PHI",2,2,16,0,1,0,0,0,1.6,1.6,2016
"191","Jonathan Stewart","CAR",2,5,9,0,2,2,7,0,1.6,1.6,2016
"201","Denard Robinson","JAC",2,1,7,0,2,1,7,0,1.4,1.4,2016
"211","Kenneth Farrow","SD",2,4,13,0,1,0,0,0,1.3,1.3,2016
"221","Fitzgerald Toussaint","PIT",2,1,4,0,1,1,9,0,1.3,1.3,2016
"231","Alfred Blue","HOU",2,5,11,0,0,0,0,0,1.1,1.1,2016
"241","Andre Ellington","ARI",2,1,2,0,1,1,9,0,1.1,1.1,2016
"251","Andy Janovich","DEN",2,0,0,0,1,1,11,0,1.1,1.1,2016
"261","Mike Davis","SF",2,0,0,0,1,1,10,0,1,1,2016
"271","John Kuhn","NO",2,1,2,0,2,2,8,0,1,1,2016
"281","Benny Cunningham","LAR",2,1,2,0,2,1,7,0,0.9,0.9,2016
"291","Arian Foster","MIA",2,3,9,0,0,0,0,0,0.9,0.9,2016
"301","DJ Foster","NE",2,1,7,0,2,1,2,0,0.9,0.9,2016
"311","Tim Hightower","NO",2,3,9,0,0,0,0,0,0.9,0.9,2016
"321","Kyle Juszczyk","BAL",2,0,0,0,2,1,8,0,0.8,0.8,2016
"331","Thomas Rawls","SEA",2,7,-7,0,3,3,15,0,0.8,0.8,2016
"341","Kapri Bibbs","DEN",2,1,7,0,1,0,0,0,0.7,0.7,2016
"351","KaDeem Carey","CHI",2,2,3,0,1,1,3,0,0.6,0.6,2016
"361","Daryl Richardson","PIT",2,1,6,0,0,0,0,0,0.6,0.6,2016
"371","Bilal Powell","NYJ",2,1,2,0,2,1,1,0,0.3,0.3,2016
"381","Kenjon Barner","PHI",2,2,2,0,0,0,0,0,0.2,0.2,2016
"391","Orleans Darkwa","NYG",2,1,-1,0,1,1,3,0,0.2,0.2,2016
"401","Jerick McKinnon","MIN",2,2,2,0,1,1,-1,0,0.1,0.1,2016
"411","Alex Collins","SEA",2,2,0,0,0,0,0,0,0,0,2016
"421","Will Tukuafu","SEA",2,0,0,0,1,0,0,0,0,0,2016
