"","Name","Tm","Week","RushAtt","RushYds","RushTD","Target","Rec","RecYds","RecTD","FPts","FPts_G","Year"
"2","Matt Forte","NYJ",2,30,100,3,3,2,9,0,28.9,28.9,2016
"3","Isaiah Crowell","CLE",2,18,133,1,1,1,15,0,20.8,20.8,2016
"4","DeAngelo Williams","PIT",2,32,94,0,5,4,38,1,19.2,19.2,2016
"5","LeGarrette Blount","NE",2,29,123,1,0,0,0,0,18.3,18.3,2016
"6","Melvin Gordon","SD",2,24,102,1,3,3,18,0,18,18,2016
"7","Giovani Bernard","CIN",2,5,17,0,11,9,100,1,17.7,17.7,2016
"8","Latavius Murray","OAK",2,8,57,1,6,6,44,0,16.1,16.1,2016
"9","Ryan Mathews","PHI",2,9,32,2,1,1,3,0,15.5,15.5,2016
"10","CJ Anderson","DEN",2,20,74,1,5,3,19,0,15.3,15.3,2016
"11","Ezekiel Elliott","DAL",2,21,83,1,2,2,4,0,14.7,14.7,2016
"12","DeMarco Murray","TEN",2,12,89,0,7,7,56,0,14.5,14.5,2016
"13","David Johnson","ARI",2,12,45,0,5,3,98,0,14.3,14.3,2016
"14","Tevin Coleman","ATL",2,12,46,1,2,2,25,0,13.1,13.1,2016
"15","Fozzy Whittaker","CAR",2,16,100,0,4,3,31,0,13.1,13.1,2016
"16","Matt Jones","WAS",2,13,61,1,1,1,4,0,12.5,12.5,2016
"17","Frank Gore","IND",2,13,44,0,3,3,19,1,12.3,12.3,2016
"18","Chris Johnson","ARI",2,16,54,1,0,0,0,0,11.4,11.4,2016
"19","Spencer Ware","KC",2,10,57,0,3,2,48,0,10.5,10.5,2016
"20","Lamar Miller","HOU",2,25,83,0,2,2,14,0,9.7,9.7,2016
"21","Jeremy Langford","CHI",2,11,28,1,2,1,6,0,9.4,9.4,2016
"22","Devonta Freeman","ATL",2,17,93,0,0,0,0,0,9.3,9.3,2016
"23","LeSean McCoy","BUF",2,15,59,0,5,4,31,0,9,9,2016
"24","Christine Michael","SEA",2,10,60,0,4,3,26,0,8.6,8.6,2016
"25","Kenyan Drake","MIA",2,2,12,1,2,2,6,0,7.8,7.8,2016
"26","Mike Gillislee","BUF",2,0,0,0,1,1,18,1,7.8,7.8,2016
"27","Corey Grant","JAC",2,0,0,0,1,1,15,1,7.5,7.5,2016
"28","Todd Gurley","LAR",2,19,51,0,1,1,19,0,7,7,2016
"29","Robert Turbin","IND",2,3,10,1,1,0,0,0,7,7,2016
"30","Alfred Morris","DAL",2,5,7,1,0,0,0,0,6.7,6.7,2016
"31","Shane Vereen","NYG",2,14,42,0,3,3,24,0,6.6,6.6,2016
"32","Theo Riddick","DET",2,11,37,0,5,4,28,0,6.5,6.5,2016
"33","Charcandrick West","KC",2,6,61,0,2,1,2,0,6.3,6.3,2016
"34","Jeremy Hill","CIN",2,11,22,0,5,3,37,0,5.9,5.9,2016
"35","Chris Thompson","WAS",2,2,1,0,4,3,57,0,5.8,5.8,2016
"36","Terrance West","BAL",2,11,42,0,3,1,15,0,5.7,5.7,2016
"37","Duke Johnson","CLE",2,3,12,0,5,4,44,0,5.6,5.6,2016
"38","Carlos Hyde","SF",2,14,34,0,3,3,18,0,5.2,5.2,2016
"39","DeAndre Washington","OAK",2,6,46,0,1,1,6,0,5.2,5.2,2016
