"","Name","Tm","Week","PassCmp","PassAtt","PassYds","PassTD","Int","RushAtt","RushYds","RushTD","FPts","FPts_G","Year"
"2","Matt Ryan","ATL",4,28,37,503,4,1,4,14,0,42.6,42.6,2016
"3","Ben Roethlisberger","PIT",4,22,27,300,5,0,1,-1,0,34.9,34.9,2016
"4","Blake Bortles","JAC",4,19,33,207,2,0,7,36,1,28,28,2016
"5","Russell Wilson","SEA",4,23,32,309,3,0,5,-5,0,27,27,2016
"6","Derek Carr","OAK",4,25,35,199,4,0,3,-2,0,25.8,25.8,2016
"7","Joe Flacco","BAL",4,32,52,298,1,0,1,1,1,25,25,2016
"8","Philip Rivers","SD",4,28,43,321,2,1,1,0,0,24.1,24.1,2016
"9","Brian Hoyer","CHI",4,28,36,302,2,0,3,-3,0,22.8,22.8,2016
"10","Case Keenum","LAR",4,18,30,266,2,0,3,14,0,22.7,22.7,2016
"11","Alex Smith","KC",4,30,50,287,2,1,1,2,0,22.6,22.6,2016
"12","Brock Osweiler","HOU",4,25,37,254,2,2,1,14,0,22.1,22.1,2016
"13","Andrew Luck","IND",4,27,42,234,2,1,4,23,0,22,22,2016
"14","Kirk Cousins","WAS",4,21,27,183,3,1,0,0,0,21.2,21.2,2016
"15","Dak Prescott","DAL",4,23,32,245,2,0,5,3,0,20.6,20.6,2016
"16","Tyrod Taylor","BUF",4,27,39,246,1,0,5,28,0,19.1,19.1,2016
"17","Carson Palmer","ARI",4,23,36,288,1,1,0,0,0,18.4,18.4,2016
"18","Drew Brees","NO",4,23,36,206,2,2,4,-4,0,17.9,17.9,2016
"19","Sam Bradford","MIN",4,26,36,262,1,0,4,6,0,17.7,17.7,2016
"20","Andy Dalton","CIN",4,22,31,296,1,0,6,-12,0,17.6,17.6,2016
"21","Ryan Fitzpatrick","NYJ",4,23,41,261,1,3,2,5,0,17.6,17.6,2016
"22","Jameis Winston","TB",4,17,35,179,0,2,5,19,1,16.9,16.9,2016
"23","Derek Anderson","CAR",4,17,23,172,2,2,0,0,0,16.6,16.6,2016
"24","Blaine Gabbert","SF",4,16,23,196,1,1,12,27,0,16.5,16.5,2016
"25","Cody Kessler","CLE",4,28,40,223,1,1,2,2,0,15.4,15.4,2016
"26","Cam Newton","CAR",4,14,25,165,1,0,5,30,0,15.3,15.3,2016
"27","Ryan Tannehill","MIA",4,15,25,189,1,1,0,0,0,13.5,13.5,2016
"28","Eli Manning","NYG",4,25,45,261,0,1,0,0,0,13.1,13.1,2016
"29","Jacoby Brissett","NE",4,17,27,205,0,0,4,23,0,12.6,12.6,2016
"30","Matthew Stafford","DET",4,23,36,213,0,2,2,17,0,12.4,12.4,2016
"31","Paxton Lynch","DEN",4,14,24,170,1,0,3,-4,0,12.1,12.1,2016
"32","Marcus Mariota","TEN",4,13,29,202,0,1,4,20,0,12.1,12.1,2016
"33","Trevor Siemian","DEN",4,5,7,68,1,0,0,0,0,7.4,7.4,2016
"34","Drew Stanton","ARI",4,4,11,37,0,2,0,0,0,1.9,1.9,2016
"35","Landry Jones","PIT",4,0,0,0,0,0,2,0,0,0,0,2016
