"","Name","Tm","Week","RushAtt","RushYds","RushTD","Target","Rec","RecYds","RecTD","FPts","FPts_G","Year"
"241","Andre Ellington","ARI",1,0,0,0,2,2,8,0,0.8,0.8,2016
"251","Tyler Ervin","HOU",1,1,3,0,2,1,5,0,0.8,0.8,2016
"261","Denard Robinson","JAC",1,3,7,0,0,0,0,0,0.7,0.7,2016
"271","Mike Tolbert","CAR",1,2,6,0,1,1,1,0,0.7,0.7,2016
"281","Kapri Bibbs","DEN",1,0,0,0,1,1,6,0,0.6,0.6,2016
"291","Fitzgerald Toussaint","PIT",1,3,6,0,0,0,0,0,0.6,0.6,2016
"301","Alfred Blue","HOU",1,1,4,0,0,0,0,0,0.4,0.4,2016
"311","Brandon Bolden","NE",1,1,4,0,0,0,0,0,0.4,0.4,2016
"321","KaDeem Carey","CHI",1,1,4,0,0,0,0,0,0.4,0.4,2016
"331","John Kuhn","NO",1,2,4,0,1,0,0,0,0.4,0.4,2016
"341","Chris Johnson","ARI",1,1,2,0,0,0,0,0,0.2,0.2,2016
"351","Jay Prosch","HOU",1,1,2,0,0,0,0,0,0.2,0.2,2016
"361","Mike Davis","SF",1,3,1,0,0,0,0,0,0.1,0.1,2016
"371","Wendell Smallwood","PHI",1,1,1,0,0,0,0,0,0.1,0.1,2016
"381","Reggie Bush","BUF",1,3,-4,0,1,0,0,0,-0.4,-0.4,2016
"391","Mike Gillislee","BUF",1,0,0,0,1,1,-4,0,-0.4,-0.4,2016
