"","Name","Tm","Week","Target","Rec","RecYds","RecTD","RushAtt","RushYds","RushTD","FPts","FPts_G","Year"
"2","Stefon Diggs","MIN",2,11,9,182,1,0,0,0,24.2,24.2,2016
"3","Travis Benjamin","SD",2,6,6,115,2,1,-1,0,23.4,23.4,2016
"4","Kelvin Benjamin","CAR",2,9,7,108,2,0,0,0,22.8,22.8,2016
"5","Corey Coleman","CLE",2,8,5,104,2,0,0,0,22.4,22.4,2016
"6","Eric Decker","NYJ",2,8,6,126,1,0,0,0,18.6,18.6,2016
"7","DeAndre Hopkins","HOU",2,11,7,113,1,0,0,0,17.3,17.3,2016
"8","Marquise Goodwin","BUF",2,5,2,112,1,0,0,0,17.2,17.2,2016
"9","Danny Amendola","NE",2,4,4,50,2,0,0,0,17,17,2016
"10","Julio Jones","ATL",2,5,5,106,1,0,0,0,16.6,16.6,2016
"11","Mike Wallace","BAL",2,6,4,41,2,0,0,0,16.1,16.1,2016
"12","Greg Salas","BUF",2,5,4,89,1,0,0,0,14.9,14.9,2016
"13","Larry Fitzgerald","ARI",2,11,6,81,1,0,0,0,14.1,14.1,2016
"14","Jaron Brown","ARI",2,2,2,78,1,0,0,0,13.8,13.8,2016
"15","Jarvis Landry","MIA",2,13,10,137,0,0,0,0,13.7,13.7,2016
"16","Jordy Nelson","GB",2,11,5,73,1,0,0,0,13.3,13.3,2016
"17","Mike Evans","TB",2,17,6,70,1,0,0,0,13,13,2016
"18","Tyrell Williams","SD",2,6,3,61,1,0,0,0,12.1,12.1,2016
"19","Marvin Jones","DET",2,11,8,118,0,0,0,0,11.8,11.8,2016
"20","Sterling Shepard","NYG",2,8,8,117,0,0,0,0,11.7,11.7,2016
"21","Torrey Smith","SF",2,10,3,55,1,0,0,0,11.5,11.5,2016
"22","Willie Snead","NO",2,8,5,54,1,0,0,0,11.4,11.4,2016
"23","Anquan Boldin","DET",2,7,4,48,1,0,0,0,10.8,10.8,2016
"24","DeVante Parker","MIA",2,13,8,106,0,0,0,0,10.6,10.6,2016
"25","Will Fuller","HOU",2,7,4,104,0,0,0,0,10.4,10.4,2016
"26","Sammie Coates","PIT",2,5,2,97,0,1,6,0,10.3,10.3,2016
"27","Dez Bryant","DAL",2,12,7,102,0,0,0,0,10.2,10.2,2016
"28","Brandon Marshall","NYJ",2,9,6,101,0,0,0,0,10.1,10.1,2016
"29","Jamison Crowder","WAS",2,8,6,39,1,0,0,0,9.9,9.9,2016
"30","Tyler Lockett","SEA",2,4,4,99,0,0,0,0,9.9,9.9,2016
"31","Kenny Stills","MIA",2,4,2,39,1,0,0,0,9.9,9.9,2016
"32","Alshon Jeffery","CHI",2,7,5,96,0,0,0,0,9.6,9.6,2016
"33","Kenny Britt","LAR",2,10,6,94,0,0,0,0,9.4,9.4,2016
"34","Quincy Enunwa","NYJ",2,6,6,92,0,0,0,0,9.2,9.2,2016
"35","Michael Crabtree","OAK",2,5,4,31,1,0,0,0,9.1,9.1,2016
"36","Victor Cruz","NYG",2,8,4,91,0,0,0,0,9.1,9.1,2016
"37","Demaryius Thomas","DEN",2,7,5,90,0,0,0,0,9,9,2016
"38","Odell Beckham Jr","NYG",2,11,8,86,0,0,0,0,8.6,8.6,2016
"39","Devin Funchess","CAR",2,4,2,19,1,0,0,0,7.9,7.9,2016
"40","Tyler Boyd","CIN",2,8,6,78,0,0,0,0,7.8,7.8,2016
"41","Julian Edelman","NE",2,11,7,76,0,0,0,0,7.6,7.6,2016
"42","Cole Beasley","DAL",2,6,5,75,0,0,0,0,7.5,7.5,2016
"43","Marqise Lee","JAC",2,7,5,75,0,0,0,0,7.5,7.5,2016
"44","Amari Cooper","OAK",2,9,5,71,0,0,0,0,7.1,7.1,2016
"45","Jordan Matthews","PHI",2,9,6,71,0,0,0,0,7.1,7.1,2016
"46","Andre Johnson","TEN",2,2,1,9,1,0,0,0,6.9,6.9,2016
"47","Brandin Cooks","NO",2,9,7,68,0,0,0,0,6.8,6.8,2016
"48","Michael Floyd","ARI",2,6,2,8,1,0,0,0,6.8,6.8,2016
"49","Justin Hardy","ATL",2,3,1,8,1,0,0,0,6.8,6.8,2016
"50","Jeremy Maclin","KC",2,15,6,68,0,0,0,0,6.8,6.8,2016
"51","Adam Humphries","TB",2,8,6,67,0,0,0,0,6.7,6.7,2016
"210","Andre Holmes","OAK",2,3,1,6,1,0,0,0,6.6,6.6,2016
"310","Allen Hurns","JAC",2,10,5,64,0,0,0,0,6.4,6.4,2016
"410","Steve Smith","BAL",2,6,3,64,0,0,0,0,6.4,6.4,2016
"52","Chris Hogan","NE",2,6,4,59,0,0,0,0,5.9,5.9,2016
"61","Josh Doctson","WAS",2,5,1,57,0,0,0,0,5.7,5.7,2016
"71","Tavon Austin","LAR",2,9,5,50,0,2,6,0,5.6,5.6,2016
"81","Ted Ginn Jr","CAR",2,4,2,51,0,1,5,0,5.6,5.6,2016
"91","Michael Thomas","NO",2,5,4,56,0,0,0,0,5.6,5.6,2016
"101","Allen Robinson","JAC",2,5,3,54,0,0,0,0,5.4,5.4,2016
"111","Eddie Royal","CHI",2,6,4,52,0,0,0,0,5.2,5.2,2016
"121","Jalin Marshall","NYJ",2,4,3,45,0,0,0,0,4.5,4.5,2016
"131","Kevin White","CHI",2,6,4,36,0,1,9,0,4.5,4.5,2016
"141","Vincent Jackson","TB",2,9,4,44,0,0,0,0,4.4,4.4,2016
"151","Randall Cobb","GB",2,7,5,42,0,1,1,0,4.3,4.3,2016
"161","Nelson Agholor","PHI",2,7,4,42,0,0,0,0,4.2,4.2,2016
"171","TY Hilton","IND",2,11,4,41,0,0,0,0,4.1,4.1,2016
"181","Adam Thielen","MIN",2,5,4,41,0,0,0,0,4.1,4.1,2016
"191","DeSean Jackson","WAS",2,5,3,40,0,0,0,0,4,4,2016
"201","Rishard Matthews","TEN",2,6,4,40,0,0,0,0,4,4,2016
"211","Antonio Brown","PIT",2,11,4,39,0,0,0,0,3.9,3.9,2016
"221","Brandon LaFell","CIN",2,8,3,39,0,0,0,0,3.9,3.9,2016
"231","Emmanuel Sanders","DEN",2,8,3,39,0,0,0,0,3.9,3.9,2016
"241","AJ Green","CIN",2,8,2,38,0,0,0,0,3.8,3.8,2016
"251","Paul Richardson","SEA",2,6,3,35,0,0,0,0,3.5,3.5,2016
"261","Tajae Sharpe","TEN",2,7,4,33,0,0,0,0,3.3,3.3,2016
"271","Breshad Perriman","BAL",2,5,2,32,0,0,0,0,3.2,3.2,2016
"281","Terrelle Pryor","CLE",2,10,3,32,0,0,0,0,3.2,3.2,2016
"291","Phillip Dorsett","IND",2,5,1,30,0,0,0,0,3,3,2016
"301","Aldrick Robinson","ATL",2,3,2,30,0,0,0,0,3,3,2016
"311","Jeremy Kerley","SF",2,6,3,29,0,0,0,0,2.9,2.9,2016
"321","Taylor Gabriel","ATL",2,3,3,28,0,0,0,0,2.8,2.8,2016
"331","Andrew Hawkins","CLE",2,3,3,28,0,0,0,0,2.8,2.8,2016
"341","Davante Adams","GB",2,7,3,26,0,0,0,0,2.6,2.6,2016
"351","Pierre Garcon","WAS",2,7,2,25,0,0,0,0,2.5,2.5,2016
"361","Quinton Patton","SF",2,6,3,25,0,0,0,0,2.5,2.5,2016
"371","Seth Roberts","OAK",2,6,3,25,0,0,0,0,2.5,2.5,2016
"381","Jordan Norwood","DEN",2,4,3,24,0,0,0,0,2.4,2.4,2016
"391","Doug Baldwin","SEA",2,6,3,20,0,0,0,0,2,2,2016
"401","Alex Erickson","CIN",2,1,1,20,0,0,0,0,2,2,2016
"411","Jordan Taylor","DEN",2,1,1,20,0,0,0,0,2,2,2016
"421","Sammy Watkins","BUF",2,5,2,20,0,0,0,0,2,2,2016
"431","Mohamed Sanu","ATL",2,5,3,19,0,0,0,0,1.9,1.9,2016
"441","Dorial GreenBeckham","PHI",2,4,2,18,0,0,0,0,1.8,1.8,2016
"451","Johnny Holton","OAK",2,1,1,4,0,1,14,0,1.8,1.8,2016
"461","Russell Shepard","TB",2,2,2,16,0,0,0,0,1.6,1.6,2016
"471","Philly Brown","CAR",2,6,3,15,0,0,0,0,1.5,1.5,2016
"481","Brandon Coleman","NO",2,4,2,15,0,0,0,0,1.5,1.5,2016
"491","Chris Conley","KC",2,4,2,15,0,0,0,0,1.5,1.5,2016
"501","Charles Johnson","MIN",2,2,2,15,0,0,0,0,1.5,1.5,2016
"511","Malcolm Mitchell","NE",2,2,1,15,0,0,0,0,1.5,1.5,2016
"212","John Brown","ARI",2,3,1,14,0,0,0,0,1.4,1.4,2016
"312","Rod Streater","SF",2,2,1,13,0,0,0,0,1.3,1.3,2016
"412","Golden Tate","DET",2,9,2,13,0,0,0,0,1.3,1.3,2016
"53","Cody Latimer","DEN",2,2,2,12,0,0,0,0,1.2,1.2,2016
"62","Cecil Shorts","TB",2,2,1,12,0,0,0,0,1.2,1.2,2016
"72","Jermaine Kearse","SEA",2,6,2,11,0,0,0,0,1.1,1.1,2016
"82","Albert Wilson","KC",2,3,2,11,0,0,0,0,1.1,1.1,2016
"92","Robert Woods","BUF",2,2,1,10,0,0,0,0,1,1,2016
"102","James Wright","CIN",2,1,1,10,0,0,0,0,1,1,2016
"112","Arrelious Benn","JAC",2,2,1,9,0,0,0,0,0.9,0.9,2016
"122","Donte Moncrief","IND",2,3,1,9,0,0,0,0,0.9,0.9,2016
"132","Chris Moore","BAL",2,2,1,9,0,0,0,0,0.9,0.9,2016
"142","Eli Rogers","PIT",2,3,1,9,0,0,0,0,0.9,0.9,2016
"152","Brian Quick","LAR",2,1,1,8,0,0,0,0,0.8,0.8,2016
"162","Quan Bray","IND",2,1,1,7,0,0,0,0,0.7,0.7,2016
"172","Rashad Greene","JAC",2,3,1,7,0,0,0,0,0.7,0.7,2016
"182","Darrius HeywardBey","PIT",2,2,1,7,0,0,0,0,0.7,0.7,2016
"192","Tyreek Hill","KC",2,2,2,8,0,1,-1,0,0.7,0.7,2016
"202","Dontrelle Inman","SD",2,3,1,7,0,0,0,0,0.7,0.7,2016
"213","Ryan Grant","WAS",2,1,1,5,0,0,0,0,0.5,0.5,2016
"222","Paul Lasike","CHI",2,0,0,0,0,1,2,0,0.2,0.2,2016
"232","Braxton Miller","HOU",2,3,1,3,0,1,-2,0,0.1,0.1,2016
"242","Kamar Aiken","BAL",2,1,0,0,0,0,0,0,0,0,2016
"252","Aaron Burbridge","SF",2,1,0,0,0,0,0,0,0,0,2016
"262","Brice Butler","DAL",2,1,0,0,0,0,0,0,0,0,2016
"272","Trevor Davis","GB",2,1,0,0,0,0,0,0,0,0,2016
"282","Rashard Higgins","CLE",2,1,0,0,0,0,0,0,0,0,2016
"292","Chester Rogers","IND",2,1,0,0,0,0,0,0,0,0,2016
"302","Matt Slater","NE",2,1,0,0,0,0,0,0,0,0,2016
"313","Jaelen Strong","HOU",2,1,0,0,0,0,0,0,0,0,2016
"322","Josh Huff","PHI",2,1,1,-1,0,1,0,0,-0.1,-0.1,2016
"332","Tommylee Lewis","NO",2,1,1,-1,0,0,0,0,-0.1,-0.1,2016
"342","Cordarrelle Patterson","MIN",2,0,0,0,0,1,-2,0,-0.2,-0.2,2016
