"","Name","Tm","Week","Target","Rec","RecYds","RecTD","FPts","FPts_G","Year"
"2","Jordan Reed","WAS",4,10,9,73,2,19.3,19.3,2016
"3","Greg Olsen","CAR",4,13,6,76,1,13.6,13.6,2016
"4","Hunter Henry","SD",4,7,4,61,1,12.1,12.1,2016
"5","Kyle Rudolph","MIN",4,7,5,55,1,11.5,11.5,2016
"6","Jimmy Graham","SEA",4,8,6,113,0,11.3,11.3,2016
"7","Martellus Bennett","NE",4,6,5,109,0,10.9,10.9,2016
"8","CJ Fiedorowicz","HOU",4,5,4,48,1,10.8,10.8,2016
"9","Austin Hooper","ATL",4,1,1,42,1,10.2,10.2,2016
"10","Zach Miller","CHI",4,3,3,31,1,9.1,9.1,2016
"11","Travis Kelce","KC",4,8,5,23,1,8.3,8.3,2016
"12","Garrett Celek","SF",4,5,5,79,0,7.9,7.9,2016
"13","Jesse James","PIT",4,2,2,15,1,7.5,7.5,2016
"14","Cameron Brate","TB",4,8,5,67,0,6.7,6.7,2016
"15","Jacob Tamme","ATL",4,2,2,3,1,6.3,6.3,2016
"16","Gary Barnidge","CLE",4,7,7,57,0,5.7,5.7,2016
"17","Ryan Griffin","HOU",4,5,3,54,0,5.4,5.4,2016
"18","Lance Kendricks","LAR",4,7,5,52,0,5.2,5.2,2016
"19","Charles Clay","BUF",4,7,5,47,0,4.7,4.7,2016
"20","Jason Witten","DAL",4,9,7,47,0,4.7,4.7,2016
"21","CJ Uzomah","CIN",4,5,4,45,0,4.5,4.5,2016
"22","Will Tye","NYG",4,6,4,43,0,4.3,4.3,2016
"23","Eric Ebron","DET",4,5,4,42,0,4.2,4.2,2016
"24","Delanie Walker","TEN",4,8,2,34,0,3.4,3.4,2016
"25","David Johnson","PIT",4,1,1,26,0,2.6,2.6,2016
"26","Clive Walford","OAK",4,4,2,23,0,2.3,2.3,2016
"27","Dwayne Allen","IND",4,4,2,20,0,2,2,2016
"28","Nick OLeary","BUF",4,2,2,20,0,2,2,2016
"29","Coby Fleener","NO",4,5,3,19,0,1.9,1.9,2016
"30","Xavier Grimble","PIT",4,2,1,19,0,1.9,1.9,2016
"31","Jeff Heuerman","DEN",4,1,1,19,0,1.9,1.9,2016
"32","Ed Dickson","CAR",4,2,2,17,0,1.7,1.7,2016
"33","Dennis Pitta","BAL",4,5,3,17,0,1.7,1.7,2016
"34","Crockett Gillmore","BAL",4,2,2,16,0,1.6,1.6,2016
"35","Malcolm Johnson","CLE",4,1,1,11,0,1.3,1.3,2016
"36","Demetrius Harris","KC",4,1,1,12,0,1.2,1.2,2016
"37","Marcedes Lewis","JAC",4,2,1,12,0,1.2,1.2,2016
"38","Rob Gronkowski","NE",4,2,1,11,0,1.1,1.1,2016
"39","Logan Paulsen","CHI",4,3,2,10,0,1,1,2016
"40","Dion Sims","MIA",4,2,1,9,0,0.9,0.9,2016
"41","Vernon Davis","WAS",4,1,1,8,0,0.8,0.8,2016
"42","Darren Fells","ARI",4,2,2,7,0,0.7,0.7,2016
"43","MyCole Pruitt","MIN",4,1,1,7,0,0.7,0.7,2016
"44","Jack Doyle","IND",4,1,1,6,0,0.6,0.6,2016
"45","Rhett Ellison","MIN",4,1,1,2,0,0.2,0.2,2016
"46","Mychal Rivera","OAK",4,1,1,1,0,0.1,0.1,2016
"47","Lee Smith","OAK",4,1,1,1,0,0.1,0.1,2016
"48","Braedon Bowman","NYJ",4,1,0,0,0,0,0,2016
"49","Alan Cross","TB",4,1,0,0,0,0,0,2016
"50","Anthony Fasano","TEN",4,1,0,0,0,0,0,2016
"51","MarQueis Gray","MIA",4,1,0,0,0,0,0,2016
"210","Jermaine Gresham","ARI",4,1,0,0,0,0,0,2016
"310","Tyler Higbee","LAR",4,1,0,0,0,0,0,2016
"410","Khari Lee","DET",4,1,0,0,0,0,0,2016
"52","Randall Telfer","CLE",4,1,0,0,0,0,0,2016
"61","Levine Toilolo","ATL",4,1,0,0,0,0,0,2016
"71","Ross Travis","KC",4,1,0,0,0,0,0,2016
"81","Cole Wick","DET",4,1,0,0,0,0,0,2016
"91","Luke Willson","SEA",4,3,0,0,0,0,0,2016
